,6c_model,6b_model,epochs,hidden_neurons,hidden_layers,activation,regularization,random_state_trainsplit,random_WeightInit,acc_train,mse_train,mae_train,rmse_train,ia_train,acc_test,mse_test,mae_test,rmse_test,ia_test
model59,model255,model788,100,100,3,relu,0.1,8,16,0.8515897873469915,98.13191843596917,6.827908914462623,9.906155583069003,0.959,0.7987998234559249,132.11256296683217,7.665984746419481,11.494022923538658,0.943
model60,model255,model788,100,100,3,relu,0.1,8,18,0.828428189122655,113.446848771063,6.986887367996591,10.651143073448173,0.949,0.7878516527505549,139.30137818821436,7.628874615378173,11.802600484139687,0.936
model61,model255,model788,100,100,3,relu,0.1,8,20,0.8279827354704602,113.74139198802064,7.103298434919397,10.664960946389847,0.953,0.800819988244001,130.78607731283168,7.544174824475245,11.436174067966597,0.945
model62,model255,model788,100,100,3,relu,0.1,8,22,0.8442737625999177,102.96942611769433,6.860213069813721,10.147385186228732,0.957,0.7943718168160487,135.02009175769305,7.614351459020183,11.619814618043312,0.942
model63,model255,model788,100,100,3,relu,0.1,8,24,0.8274833313574453,114.07160837144129,7.049453807884123,10.680431094831391,0.95,0.8017850047032381,130.15242579261516,7.473113191221827,11.408436605977839,0.942
model64,model255,model788,100,100,3,relu,0.1,8,26,0.8333002300466437,110.22535400986767,7.102535541115688,10.498826315825387,0.955,0.7918532645156586,136.67382986610698,7.731905760968778,11.69075831013998,0.943
model65,model255,model788,100,100,3,relu,0.1,8,28,0.8318307503640117,111.19700453028368,6.980605358714046,10.544999029411224,0.952,0.8018592824637616,130.10365334378955,7.504378517263913,11.406298845102627,0.944
model66,model255,model788,100,100,3,relu,0.1,8,30,0.8359195376816144,108.49341333948648,6.832802402631221,10.416017153379045,0.951,0.7989677997381953,132.0022659603903,7.434969675681349,11.489223905921161,0.94
model67,model255,model788,100,100,3,relu,0.1,8,32,0.8421063305750747,104.40257723900355,6.984244663036633,10.217757936015296,0.956,0.7972958585356039,133.1001001730547,7.635862701279406,11.536901671291764,0.944
model68,model255,model788,100,100,3,relu,0.1,8,34,0.8251339142834846,115.62509179116412,7.085986981113018,10.752910852004872,0.949,0.7981262768770843,132.55482880544432,7.566873633408196,11.513245798012145,0.942
