,epochs,hidden_neurons,hidden_layers,activation,regularization,acc_train,mse_train,mae_train,rmse_train,std_res_train,ia_train,acc_test,mse_test,mae_test,rmse_test,std_res_test,ia_test
model185,50,25,7,relu,0.5,0.799,133.869,7.819,11.57,11.481,0.944,0.776,143.737,7.975,11.989,11.936,0.937
model186,50,25,7,relu,0.1,0.81,126.462,7.549,11.246,11.22,0.945,0.786,136.884,7.718,11.7,11.686,0.939
model187,50,25,7,relu,0.05,0.802,131.891,7.491,11.484,11.477,0.94,0.778,141.921,7.735,11.913,11.9,0.934
model188,50,25,7,relu,0.01,0.806,128.822,7.523,11.35,11.312,0.943,0.78,140.611,7.718,11.858,11.804,0.935
model189,50,25,7,relu,0.005,0.809,127.183,7.451,11.278,11.274,0.945,0.787,136.312,7.65,11.675,11.663,0.938
model190,50,25,8,relu,1,0.777,148.48,8.474,12.185,11.618,0.942,0.759,154.183,8.568,12.417,11.957,0.938
model191,50,25,8,relu,0.75,0.8,132.907,7.507,11.529,11.322,0.94,0.776,143.288,7.767,11.97,11.715,0.933
model192,50,25,8,relu,0.5,0.795,136.614,7.609,11.688,11.562,0.938,0.758,154.987,7.891,12.449,12.302,0.928
model193,50,25,8,relu,0.1,0.805,129.76,7.496,11.391,11.313,0.944,0.774,144.673,7.768,12.028,11.938,0.936
model194,50,25,8,relu,0.05,0.761,159.11,8.065,12.614,11.827,0.922,0.739,167.429,8.263,12.939,12.145,0.916
model195,50,25,8,relu,0.01,0.796,135.715,7.721,11.65,11.648,0.942,0.778,142.299,7.875,11.929,11.929,0.937
model196,50,25,8,relu,0.005,0.801,132.143,7.742,11.495,11.44,0.944,0.773,145.629,7.95,12.068,12.029,0.937
model197,50,25,9,relu,1,0.805,129.988,7.41,11.401,11.314,0.94,0.78,140.795,7.59,11.866,11.762,0.934
model198,50,25,9,relu,0.75,0.773,151.199,7.839,12.296,11.895,0.926,0.752,158.859,7.961,12.604,12.161,0.919
model199,50,25,9,relu,0.5,0.792,138.608,7.864,11.773,11.735,0.942,0.766,150.114,8.045,12.252,12.231,0.935
model200,50,25,9,relu,0.1,0.796,135.558,7.992,11.643,11.374,0.945,0.769,147.708,8.189,12.154,11.939,0.938
model201,50,25,9,relu,0.05,0.804,130.093,7.484,11.406,11.392,0.942,0.781,140.274,7.665,11.844,11.817,0.936
model202,50,25,9,relu,0.01,0.805,129.47,7.623,11.378,11.375,0.944,0.786,136.87,7.724,11.699,11.699,0.939
model203,50,25,9,relu,0.005,0.762,158.642,8.935,12.595,11.686,0.939,0.733,171.012,9.101,13.077,12.275,0.933
model204,50,25,10,relu,1,0.804,130.696,7.45,11.432,11.397,0.942,0.774,144.778,7.734,12.032,11.982,0.934
model205,50,25,10,relu,0.75,0.798,134.654,7.994,11.604,11.368,0.945,0.772,145.726,8.149,12.072,11.896,0.938
model206,50,25,10,relu,0.5,0.81,126.719,7.562,11.257,11.216,0.947,0.784,138.492,7.811,11.768,11.75,0.94
model207,50,25,10,relu,0.1,0.798,134.244,7.553,11.586,11.556,0.941,0.775,144.077,7.747,12.003,11.95,0.935
model208,50,25,10,relu,0.05,0.799,133.854,7.741,11.57,11.535,0.941,0.78,140.946,7.845,11.872,11.854,0.936
model209,50,25,10,relu,0.01,0.804,130.354,7.658,11.417,11.401,0.941,0.781,139.909,7.837,11.828,11.824,0.935
model210,50,25,10,relu,0.005,0.791,139.007,8.108,11.79,11.531,0.943,0.766,150.019,8.315,12.248,12.043,0.937
model211,50,50,1,relu,1,0.791,139.269,7.722,11.801,11.76,0.937,0.771,146.851,7.886,12.118,12.05,0.931
model212,50,50,1,relu,0.75,0.776,148.779,8.305,12.198,11.948,0.939,0.756,156.091,8.478,12.494,12.292,0.934
model213,50,50,1,relu,0.5,0.786,142.142,7.837,11.922,11.899,0.937,0.77,147.282,7.919,12.136,12.09,0.932
