,epochs,hidden_neurons,hidden_layers,activation,regularization,acc_train,mse_train,mae_train,rmse_train,std_res_train,ia_train,acc_test,mse_test,mae_test,rmse_test,std_res_test,ia_test
model868,200,5,4,relu,0.005,0.788,140.747,7.893,11.864,11.863,0.938,0.769,147.722,8.024,12.154,12.154,0.933
model869,200,5,5,relu,1,0.781,145.898,7.914,12.079,11.945,0.934,0.754,157.464,8.047,12.548,12.391,0.926
model870,200,5,5,relu,0.75,0.77,152.912,8.298,12.366,12.322,0.934,0.753,158.196,8.33,12.578,12.554,0.929
model871,200,5,5,relu,0.5,0.787,141.428,7.837,11.892,11.892,0.937,0.767,149.169,7.969,12.213,12.21,0.932
model872,200,5,5,relu,0.1,0.788,141.186,7.723,11.882,11.821,0.936,0.767,148.937,7.893,12.204,12.109,0.931
model873,200,5,5,relu,0.05,0.778,147.521,7.848,12.146,12.101,0.932,0.762,152.408,7.947,12.345,12.288,0.928
model874,200,5,5,relu,0.01,0.784,144.005,8.071,12.0,11.926,0.939,0.767,149.073,8.148,12.21,12.158,0.936
model875,200,5,5,relu,0.005,0.798,134.543,7.673,11.599,11.595,0.94,0.764,151.034,7.923,12.29,12.279,0.93
model876,200,5,6,relu,1,0.79,139.822,7.773,11.825,11.824,0.94,0.768,148.855,8.017,12.201,12.193,0.934
model877,200,5,6,relu,0.75,0.785,143.303,7.941,11.971,11.967,0.937,0.759,154.064,8.128,12.412,12.412,0.93
model878,200,5,6,relu,0.5,0.78,146.267,7.827,12.094,11.97,0.933,0.765,150.529,7.929,12.269,12.119,0.928
model879,200,5,6,relu,0.1,0.794,136.972,7.681,11.703,11.678,0.938,0.776,143.579,7.802,11.982,11.945,0.934
model880,200,5,6,relu,0.05,0.776,148.738,8.27,12.196,11.969,0.94,0.751,159.653,8.446,12.635,12.448,0.934
model881,200,5,6,relu,0.01,0.786,142.292,8.0,11.929,11.854,0.94,0.762,152.375,8.203,12.344,12.296,0.934
model882,200,5,6,relu,0.005,0.795,136.317,7.722,11.676,11.674,0.939,0.775,144.243,7.838,12.01,12.005,0.934
model883,200,5,7,relu,1,0.781,145.533,8.142,12.064,12.022,0.938,0.761,152.996,8.278,12.369,12.347,0.933
model884,200,5,7,relu,0.75,0.787,141.923,7.788,11.913,11.871,0.937,0.763,151.793,7.962,12.32,12.26,0.93
model885,200,5,7,relu,0.5,0.782,145.338,8.048,12.056,12.049,0.935,0.757,155.48,8.131,12.469,12.468,0.928
model886,200,5,7,relu,0.1,0.787,141.983,8.047,11.916,11.811,0.94,0.767,149.376,8.148,12.222,12.135,0.936
model887,200,5,7,relu,0.05,0.78,146.15,8.239,12.089,11.962,0.937,0.765,150.683,8.363,12.275,12.181,0.934
model888,200,5,7,relu,0.01,0.792,138.203,7.752,11.756,11.749,0.939,0.769,148.116,7.934,12.17,12.157,0.933
model889,200,5,7,relu,0.005,0.794,136.888,7.768,11.7,11.698,0.939,0.776,143.172,7.859,11.965,11.965,0.935
model890,200,5,8,relu,1,0.795,136.139,7.729,11.668,11.664,0.939,0.772,146.206,7.88,12.092,12.081,0.933
model891,200,5,8,relu,0.75,0.789,140.317,7.992,11.846,11.799,0.939,0.76,153.92,8.129,12.406,12.38,0.931
model892,200,5,8,relu,0.5,0.79,139.904,7.97,11.828,11.791,0.939,0.773,145.426,8.043,12.059,12.031,0.936
model893,200,5,8,relu,0.1,0.768,154.365,8.438,12.424,12.39,0.933,0.755,156.617,8.518,12.515,12.493,0.931
model894,200,5,8,relu,0.05,0.791,139.325,7.753,11.804,11.803,0.938,0.776,143.511,7.854,11.98,11.978,0.934
model895,200,5,8,relu,0.01,0.789,140.32,7.831,11.846,11.846,0.938,0.769,147.603,7.975,12.149,12.147,0.934
model896,200,5,8,relu,0.005,0.786,142.381,8.041,11.932,11.876,0.94,0.767,148.913,8.09,12.203,12.171,0.935
model897,200,5,9,relu,1,-0.0,665.325,18.057,25.794,25.794,0.002,-0.0,640.276,17.775,25.304,25.304,0.004
model898,200,5,9,relu,0.75,0.795,136.171,7.702,11.669,11.664,0.939,0.767,148.892,7.915,12.202,12.192,0.932
model899,200,5,9,relu,0.5,0.784,143.453,7.731,11.977,11.755,0.934,0.764,150.937,7.914,12.286,12.03,0.928
model900,200,5,9,relu,0.1,0.796,135.745,7.786,11.651,11.64,0.939,0.776,143.597,7.911,11.983,11.977,0.935
model901,200,5,9,relu,0.05,0.784,143.955,7.834,11.998,11.982,0.936,0.766,150.132,7.899,12.253,12.224,0.931
model902,200,5,9,relu,0.01,0.785,143.149,8.095,11.964,11.888,0.94,0.765,150.533,8.176,12.269,12.216,0.935
model903,200,5,9,relu,0.005,0.763,157.953,8.22,12.568,12.088,0.925,0.737,168.434,8.353,12.978,12.462,0.917
model904,200,5,10,relu,1,-0.0,665.326,18.056,25.794,25.794,0.002,-0.0,640.276,17.774,25.304,25.304,0.004
model905,200,5,10,relu,0.75,0.783,144.449,8.03,12.019,12.0,0.938,0.761,152.998,8.262,12.369,12.359,0.933
model906,200,5,10,relu,0.5,0.786,142.394,7.781,11.933,11.907,0.936,0.773,145.538,7.872,12.064,12.017,0.933
model907,200,5,10,relu,0.1,0.788,141.375,7.716,11.89,11.723,0.935,0.769,148.033,7.879,12.167,11.962,0.93
model908,200,5,10,relu,0.05,0.783,144.623,7.917,12.026,12.019,0.936,0.77,147.173,7.953,12.131,12.113,0.933
model909,200,5,10,relu,0.01,0.784,143.632,7.727,11.985,11.816,0.933,0.766,149.893,7.846,12.243,12.039,0.928
model910,200,5,10,relu,0.005,-0.0,665.325,18.058,25.794,25.794,0.002,-0.0,640.276,17.776,25.304,25.304,0.004
model911,200,10,1,relu,1,0.795,136.258,7.815,11.673,11.66,0.942,0.777,142.557,7.952,11.94,11.935,0.937
model912,200,10,1,relu,0.75,0.794,137.305,7.702,11.718,11.683,0.939,0.768,148.367,7.893,12.181,12.129,0.932
model913,200,10,1,relu,0.5,0.794,137.165,7.688,11.712,11.706,0.94,0.777,142.844,7.818,11.952,11.936,0.936
model914,200,10,1,relu,0.1,0.789,140.655,7.923,11.86,11.848,0.939,0.768,148.853,8.034,12.201,12.195,0.934
model915,200,10,1,relu,0.05,0.789,140.258,7.853,11.843,11.841,0.94,0.773,145.524,7.937,12.063,12.063,0.935
model916,200,10,1,relu,0.01,0.777,148.18,8.102,12.173,12.172,0.934,0.758,154.857,8.226,12.444,12.439,0.929
model917,200,10,1,relu,0.005,0.794,136.989,7.734,11.704,11.699,0.94,0.771,146.874,7.946,12.119,12.107,0.933
model918,200,10,2,relu,1,0.804,130.102,7.612,11.406,11.404,0.943,0.773,145.504,7.856,12.063,12.062,0.934
model919,200,10,2,relu,0.75,0.793,137.713,7.838,11.735,11.72,0.941,0.767,149.331,8.081,12.22,12.212,0.934
model920,200,10,2,relu,0.5,0.801,132.419,7.691,11.507,11.486,0.943,0.779,141.264,7.863,11.885,11.874,0.937
model921,200,10,2,relu,0.1,0.789,140.29,7.71,11.844,11.594,0.935,0.763,151.744,7.912,12.318,12.036,0.928
model922,200,10,2,relu,0.05,0.791,139.254,7.748,11.801,11.792,0.938,0.769,147.647,7.878,12.151,12.135,0.933
model923,200,10,2,relu,0.01,0.801,132.378,7.716,11.506,11.505,0.943,0.768,148.501,7.903,12.186,12.186,0.934
model924,200,10,2,relu,0.005,0.798,134.495,7.805,11.597,11.557,0.943,0.766,150.091,7.994,12.251,12.227,0.935
model925,200,10,3,relu,1,0.798,134.367,7.848,11.592,11.51,0.944,0.773,145.051,7.997,12.044,11.996,0.938
model926,200,10,3,relu,0.75,0.792,138.086,7.901,11.751,11.739,0.939,0.761,153.149,8.13,12.375,12.372,0.93
model927,200,10,3,relu,0.5,0.792,138.427,7.816,11.765,11.744,0.938,0.761,153.236,7.937,12.379,12.34,0.929
model928,200,10,3,relu,0.1,0.799,133.432,7.865,11.551,11.426,0.944,0.772,145.949,8.048,12.081,11.988,0.936
model929,200,10,3,relu,0.05,0.792,138.442,7.964,11.766,11.706,0.942,0.775,144.046,8.063,12.002,11.967,0.938
model930,200,10,3,relu,0.01,0.797,135.335,7.747,11.633,11.633,0.94,0.773,145.537,7.932,12.064,12.063,0.934
model931,200,10,3,relu,0.005,0.802,131.555,7.669,11.47,11.465,0.944,0.773,145.596,7.916,12.066,12.066,0.935
model932,200,10,4,relu,1,0.798,134.086,7.566,11.58,11.501,0.94,0.773,145.563,7.783,12.065,11.958,0.932
model933,200,10,4,relu,0.75,-0.0,665.326,18.056,25.794,25.794,0.002,-0.0,640.276,17.774,25.304,25.304,0.004
model934,200,10,4,relu,0.5,0.793,137.423,7.859,11.723,11.713,0.941,0.763,151.762,8.116,12.319,12.318,0.933
model935,200,10,4,relu,0.1,0.798,134.31,7.761,11.589,11.533,0.943,0.772,145.847,7.956,12.077,12.039,0.936
model936,200,10,4,relu,0.05,0.806,129.079,7.54,11.361,11.359,0.941,0.776,143.694,7.772,11.987,11.981,0.933
model937,200,10,4,relu,0.01,0.803,130.871,7.6,11.44,11.432,0.944,0.777,142.916,7.851,11.955,11.953,0.937
model938,200,10,4,relu,0.005,0.8,133.388,7.614,11.549,11.529,0.941,0.773,145.557,7.862,12.065,12.033,0.932
model939,200,10,5,relu,1,0.783,144.12,7.917,12.005,11.99,0.935,0.759,154.554,8.101,12.432,12.401,0.927
model940,200,10,5,relu,0.75,0.804,130.466,7.658,11.422,11.407,0.944,0.784,138.251,7.769,11.758,11.749,0.939
model941,200,10,5,relu,0.5,0.803,131.192,7.568,11.454,11.437,0.942,0.78,141.046,7.777,11.876,11.848,0.936
model942,200,10,5,relu,0.1,0.803,131.071,7.791,11.449,11.34,0.945,0.779,141.389,7.924,11.891,11.812,0.938
model943,200,10,5,relu,0.05,0.797,134.751,7.807,11.608,11.585,0.942,0.774,144.685,7.99,12.029,12.015,0.936
model944,200,10,5,relu,0.01,0.8,133.308,7.58,11.546,11.505,0.939,0.768,148.368,7.825,12.181,12.122,0.929
model945,200,10,5,relu,0.005,0.801,132.324,7.691,11.503,11.491,0.945,0.772,145.879,7.915,12.078,12.074,0.937
model946,200,10,6,relu,1,0.791,138.931,7.663,11.787,11.701,0.936,0.772,146.213,7.796,12.092,11.975,0.93
model947,200,10,6,relu,0.75,0.804,130.405,7.666,11.419,11.416,0.944,0.772,145.786,7.929,12.074,12.074,0.934
model948,200,10,6,relu,0.5,0.806,129.278,7.606,11.37,11.362,0.945,0.782,139.873,7.751,11.827,11.826,0.938
model949,200,10,6,relu,0.1,0.798,134.651,7.816,11.604,11.498,0.943,0.767,149.131,8.033,12.212,12.143,0.934
model950,200,10,6,relu,0.05,0.8,132.86,7.754,11.527,11.513,0.944,0.771,146.336,7.995,12.097,12.092,0.936
model951,200,10,6,relu,0.01,0.802,131.884,7.741,11.484,11.437,0.943,0.78,140.958,7.912,11.873,11.844,0.937
model952,200,10,6,relu,0.005,0.804,130.108,7.601,11.407,11.406,0.942,0.769,148.134,7.899,12.171,12.169,0.932
model953,200,10,7,relu,1,0.789,140.551,7.928,11.855,11.845,0.94,0.758,154.635,8.231,12.435,12.433,0.932
model954,200,10,7,relu,0.75,0.801,132.333,7.671,11.504,11.502,0.942,0.778,141.831,7.794,11.909,11.901,0.935
model955,200,10,7,relu,0.5,0.808,127.723,7.545,11.301,11.301,0.943,0.782,139.864,7.764,11.826,11.826,0.936
model956,200,10,7,relu,0.1,0.806,128.862,7.656,11.352,11.293,0.946,0.774,144.942,7.933,12.039,12.007,0.937
model957,200,10,7,relu,0.05,0.802,131.628,7.615,11.473,11.46,0.941,0.782,139.644,7.747,11.817,11.792,0.936
model958,200,10,7,relu,0.01,0.789,140.472,7.721,11.852,11.624,0.934,0.766,149.541,7.852,12.229,11.968,0.927
model959,200,10,7,relu,0.005,0.806,129.076,7.69,11.361,11.358,0.945,0.775,143.956,7.877,11.998,11.998,0.936
model960,200,10,8,relu,1,0.801,132.202,7.568,11.498,11.429,0.941,0.77,147.062,7.941,12.127,12.032,0.932
model961,200,10,8,relu,0.75,0.8,132.81,7.645,11.524,11.507,0.944,0.779,141.219,7.857,11.884,11.875,0.938
model962,200,10,8,relu,0.5,0.807,128.68,7.614,11.344,11.317,0.945,0.779,141.33,7.797,11.888,11.877,0.938
model963,200,10,8,relu,0.1,0.807,128.444,7.517,11.333,11.333,0.944,0.782,139.482,7.762,11.81,11.807,0.937
model964,200,10,8,relu,0.05,0.809,126.865,7.515,11.263,11.263,0.944,0.782,139.533,7.734,11.812,11.81,0.936
model965,200,10,8,relu,0.01,0.804,130.5,7.613,11.424,11.424,0.941,0.774,144.847,7.805,12.035,12.035,0.933
model966,200,10,8,relu,0.005,0.792,138.688,7.727,11.777,11.531,0.937,0.769,148.082,7.974,12.169,11.878,0.93
model967,200,10,9,relu,1,0.804,130.629,7.549,11.429,11.429,0.943,0.778,142.145,7.723,11.922,11.92,0.936
model968,200,10,9,relu,0.75,0.805,129.886,7.579,11.397,11.396,0.943,0.774,144.47,7.787,12.02,12.019,0.934
model969,200,10,9,relu,0.5,0.8,133.143,7.717,11.539,11.511,0.941,0.784,138.387,7.836,11.764,11.75,0.937
model970,200,10,9,relu,0.1,0.798,134.443,7.913,11.595,11.443,0.944,0.771,146.527,8.051,12.105,11.989,0.938
model971,200,10,9,relu,0.05,0.794,136.769,7.989,11.695,11.535,0.944,0.769,148.187,8.161,12.173,12.056,0.937
model972,200,10,9,relu,0.01,0.805,129.918,7.589,11.398,11.39,0.945,0.767,149.077,7.844,12.21,12.19,0.934
model973,200,10,9,relu,0.005,0.81,126.251,7.495,11.236,11.235,0.944,0.788,136.017,7.733,11.663,11.658,0.938
model974,200,10,10,relu,1,0.802,131.814,7.578,11.481,11.481,0.94,0.774,144.453,7.77,12.019,12.017,0.933
model975,200,10,10,relu,0.75,0.801,132.462,7.765,11.509,11.459,0.943,0.773,145.449,7.969,12.06,12.03,0.935
model976,200,10,10,relu,0.5,0.8,133.278,7.552,11.545,11.534,0.94,0.781,140.291,7.664,11.844,11.82,0.935
model977,200,10,10,relu,0.1,0.811,125.468,7.512,11.201,11.193,0.946,0.782,139.285,7.756,11.802,11.8,0.938
model978,200,10,10,relu,0.05,0.806,128.919,7.456,11.354,11.266,0.943,0.775,143.753,7.728,11.99,11.881,0.935
model979,200,10,10,relu,0.01,0.802,131.717,7.545,11.477,11.436,0.941,0.777,142.804,7.75,11.95,11.895,0.934
model980,200,10,10,relu,0.005,0.805,129.465,7.506,11.378,11.373,0.944,0.775,144.049,7.71,12.002,11.988,0.936
model981,200,25,1,relu,1,0.808,127.945,7.591,11.311,11.307,0.946,0.785,137.972,7.793,11.746,11.746,0.939
model982,200,25,1,relu,0.75,0.791,138.996,8.027,11.79,11.617,0.941,0.776,143.56,8.136,11.982,11.848,0.938
model983,200,25,1,relu,0.5,0.801,132.354,7.6,11.505,11.492,0.942,0.771,146.503,7.874,12.104,12.078,0.933
model984,200,25,1,relu,0.1,0.804,130.625,7.641,11.429,11.426,0.943,0.781,140.067,7.825,11.835,11.835,0.937
model985,200,25,1,relu,0.05,0.791,139.271,7.709,11.801,11.753,0.936,0.777,142.505,7.762,11.938,11.869,0.933
model986,200,25,1,relu,0.01,0.796,135.818,7.607,11.654,11.56,0.938,0.772,146.107,7.783,12.087,11.978,0.932
model987,200,25,1,relu,0.005,0.804,130.396,7.64,11.419,11.402,0.944,0.774,144.864,7.871,12.036,12.028,0.936
model988,200,25,2,relu,1,0.807,128.486,7.561,11.335,11.332,0.943,0.786,136.889,7.774,11.7,11.693,0.937
model989,200,25,2,relu,0.75,0.814,123.963,7.46,11.134,11.126,0.948,0.779,141.788,7.797,11.907,11.905,0.938
model990,200,25,2,relu,0.5,0.82,119.586,7.374,10.936,10.916,0.951,0.778,141.876,7.819,11.911,11.904,0.939
model991,200,25,2,relu,0.1,0.816,122.703,7.38,11.077,11.074,0.946,0.783,139.227,7.629,11.799,11.789,0.936
model992,200,25,2,relu,0.05,0.808,127.449,7.486,11.289,11.217,0.945,0.77,147.232,7.911,12.134,12.042,0.934
model993,200,25,2,relu,0.01,0.793,137.42,7.927,11.723,11.633,0.942,0.766,149.645,8.201,12.233,12.157,0.936
model994,200,25,2,relu,0.005,0.821,118.891,7.284,10.904,10.902,0.949,0.785,137.465,7.712,11.725,11.717,0.939
model995,200,25,3,relu,1,0.824,116.853,7.202,10.81,10.797,0.95,0.78,140.949,7.706,11.872,11.848,0.938
model996,200,25,3,relu,0.75,0.817,121.788,7.476,11.036,10.993,0.95,0.778,142.41,7.896,11.934,11.909,0.939
model997,200,25,3,relu,0.5,0.827,114.882,7.2,10.718,10.718,0.95,0.776,143.389,7.652,11.975,11.973,0.935
model998,200,25,3,relu,0.1,0.818,120.904,7.295,10.996,10.983,0.947,0.782,139.678,7.706,11.819,11.799,0.936
model999,200,25,3,relu,0.05,0.825,116.304,7.172,10.784,10.748,0.949,0.779,141.358,7.716,11.889,11.839,0.935
model1000,200,25,3,relu,0.01,0.82,120.072,7.333,10.958,10.958,0.949,0.785,137.494,7.735,11.726,11.725,0.94
model1001,200,25,3,relu,0.005,0.798,134.617,8.038,11.602,11.269,0.946,0.764,151.269,8.35,12.299,12.047,0.936
model1002,200,25,4,relu,1,0.83,113.184,7.192,10.639,10.622,0.952,0.772,146.141,7.743,12.089,12.083,0.936
model1003,200,25,4,relu,0.75,0.817,121.81,7.497,11.037,10.995,0.95,0.784,138.526,7.833,11.77,11.748,0.94
model1004,200,25,4,relu,0.5,0.827,114.931,7.203,10.721,10.72,0.951,0.781,140.383,7.701,11.848,11.843,0.938
model1005,200,25,4,relu,0.1,0.832,111.768,7.082,10.572,10.557,0.952,0.783,139.188,7.702,11.798,11.767,0.938
model1006,200,25,4,relu,0.05,0.819,120.363,7.22,10.971,10.921,0.946,0.773,145.175,7.639,12.049,11.983,0.932
model1007,200,25,4,relu,0.01,0.818,121.196,7.392,11.009,10.961,0.951,0.775,144.251,7.863,12.01,11.981,0.939
model1008,200,25,4,relu,0.005,0.83,112.981,7.109,10.629,10.618,0.951,0.782,139.579,7.683,11.814,11.791,0.937
model1009,200,25,5,relu,1,0.834,110.538,7.092,10.514,10.51,0.952,0.786,136.823,7.649,11.697,11.687,0.938
model1010,200,25,5,relu,0.75,0.829,113.618,7.214,10.659,10.659,0.952,0.775,144.313,7.84,12.013,12.012,0.936
model1011,200,25,5,relu,0.5,0.832,111.652,7.065,10.567,10.559,0.953,0.782,139.495,7.656,11.811,11.797,0.938
model1012,200,25,5,relu,0.1,0.83,112.913,7.067,10.626,10.602,0.951,0.788,135.499,7.575,11.64,11.592,0.938
model1013,200,25,5,relu,0.05,0.819,120.13,7.242,10.96,10.949,0.948,0.776,143.16,7.677,11.965,11.945,0.936
model1014,200,25,5,relu,0.01,0.839,107.022,7.109,10.345,10.327,0.955,0.783,139.251,7.72,11.8,11.793,0.939
model1015,200,25,5,relu,0.005,0.817,121.605,7.496,11.027,10.908,0.952,0.763,151.513,7.98,12.309,12.244,0.936
model1016,200,25,6,relu,1,0.826,115.892,7.27,10.765,10.743,0.952,0.778,142.025,7.79,11.917,11.91,0.938
model1017,200,25,6,relu,0.75,0.811,125.734,7.333,11.213,10.971,0.942,0.761,153.032,7.871,12.371,12.097,0.925
model1018,200,25,6,relu,0.5,0.829,113.817,7.207,10.669,10.584,0.954,0.772,146.098,7.815,12.087,12.041,0.938
model1019,200,25,6,relu,0.1,0.823,117.742,7.303,10.851,10.805,0.953,0.762,152.247,7.899,12.339,12.315,0.938
model1020,200,25,6,relu,0.05,0.832,111.68,7.054,10.568,10.521,0.952,0.764,151.415,7.685,12.305,12.255,0.932
model1021,200,25,6,relu,0.01,0.816,122.634,7.55,11.074,11.015,0.948,0.78,140.787,7.922,11.865,11.834,0.938
model1022,200,25,6,relu,0.005,0.84,106.584,6.981,10.324,10.304,0.954,0.775,143.748,7.667,11.989,11.961,0.935
model1023,200,25,7,relu,1,0.819,120.377,7.399,10.972,10.951,0.948,0.776,143.532,7.86,11.98,11.973,0.934
model1024,200,25,7,relu,0.75,0.822,118.728,7.218,10.896,10.867,0.948,0.792,132.991,7.551,11.532,11.492,0.939
model1025,200,25,7,relu,0.5,0.828,114.519,7.26,10.701,10.643,0.955,0.764,150.792,7.912,12.28,12.241,0.937
model1026,200,25,7,relu,0.1,0.832,112.021,7.127,10.584,10.575,0.954,0.778,141.832,7.661,11.909,11.887,0.938
model1027,200,25,7,relu,0.05,0.832,111.593,7.094,10.564,10.553,0.954,0.763,151.695,7.852,12.316,12.295,0.933
model1028,200,25,7,relu,0.01,0.82,119.879,7.352,10.949,10.881,0.952,0.782,139.73,7.789,11.821,11.779,0.942
model1029,200,25,7,relu,0.005,0.826,116.009,7.191,10.771,10.77,0.951,0.766,149.57,7.798,12.23,12.227,0.935
model1030,200,25,8,relu,1,0.823,117.619,7.177,10.845,10.802,0.947,0.779,141.483,7.614,11.895,11.838,0.934
model1031,200,25,8,relu,0.75,0.831,112.517,7.126,10.607,10.607,0.952,0.783,139.028,7.774,11.791,11.789,0.936
model1032,200,25,8,relu,0.5,0.828,114.415,7.155,10.696,10.687,0.95,0.784,138.463,7.702,11.767,11.751,0.937
model1033,200,25,8,relu,0.1,0.83,113.331,7.167,10.646,10.645,0.951,0.781,140.071,7.722,11.835,11.835,0.938
model1034,200,25,8,relu,0.05,0.809,127.154,7.344,11.276,10.855,0.941,0.764,150.874,7.852,12.283,11.833,0.927
model1035,200,25,8,relu,0.01,0.831,112.255,7.183,10.595,10.58,0.952,0.781,140.239,7.597,11.842,11.838,0.938
model1036,200,25,8,relu,0.005,0.832,111.852,7.235,10.576,10.511,0.954,0.781,140.372,7.803,11.848,11.814,0.939
model1037,200,25,9,relu,1,0.829,113.509,7.073,10.654,10.599,0.949,0.777,142.811,7.678,11.95,11.893,0.933
model1038,200,25,9,relu,0.75,0.827,114.791,7.17,10.714,10.714,0.951,0.783,138.763,7.687,11.78,11.771,0.937
model1039,200,25,9,relu,0.5,0.824,117.089,7.207,10.821,10.819,0.951,0.786,137.254,7.664,11.716,11.71,0.94
model1040,200,25,9,relu,0.1,0.832,112.054,7.285,10.586,10.528,0.954,0.78,140.887,7.823,11.87,11.839,0.94
model1041,200,25,9,relu,0.05,0.806,128.942,7.796,11.355,11.054,0.949,0.755,156.801,8.32,12.522,12.305,0.935
model1042,200,25,9,relu,0.01,0.826,115.441,7.119,10.744,10.686,0.95,0.78,140.669,7.64,11.86,11.793,0.936
model1043,200,25,9,relu,0.005,0.79,139.622,8.486,11.816,10.91,0.946,0.746,162.855,8.98,12.761,12.006,0.935
model1044,200,25,10,relu,1,0.825,116.463,7.185,10.792,10.727,0.949,0.778,142.06,7.766,11.919,11.833,0.934
model1045,200,25,10,relu,0.75,0.824,116.886,7.302,10.811,10.773,0.95,0.784,138.524,7.759,11.77,11.747,0.938
model1046,200,25,10,relu,0.5,0.827,115.268,7.277,10.736,10.707,0.953,0.778,141.97,7.811,11.915,11.9,0.938
model1047,200,25,10,relu,0.1,0.823,117.929,7.265,10.86,10.853,0.95,0.774,144.511,7.827,12.021,12.021,0.936
model1048,200,25,10,relu,0.05,0.822,118.571,7.259,10.889,10.888,0.949,0.789,135.165,7.578,11.626,11.625,0.939
model1049,200,25,10,relu,0.01,0.823,117.609,7.266,10.845,10.843,0.949,0.766,149.596,7.775,12.231,12.221,0.932
model1050,200,25,10,relu,0.005,0.831,112.592,7.196,10.611,10.61,0.953,0.772,146.019,7.827,12.084,12.081,0.935
model1051,200,50,1,relu,1,0.81,126.261,7.412,11.237,11.201,0.943,0.783,139.022,7.7,11.791,11.734,0.935
model1052,200,50,1,relu,0.75,0.813,124.12,7.455,11.141,11.14,0.946,0.782,139.554,7.749,11.813,11.807,0.937
model1053,200,50,1,relu,0.5,0.805,129.738,7.482,11.39,11.2,0.941,0.781,140.228,7.684,11.842,11.628,0.935
model1054,200,50,1,relu,0.1,0.815,123.391,7.457,11.108,11.097,0.947,0.787,136.064,7.723,11.665,11.661,0.94
model1055,200,50,1,relu,0.05,0.805,129.747,7.781,11.391,11.211,0.947,0.772,146.196,8.162,12.091,11.968,0.937
model1056,200,50,1,relu,0.01,0.806,129.158,7.629,11.365,11.348,0.944,0.768,148.413,7.957,12.182,12.177,0.934
model1057,200,50,1,relu,0.005,0.808,127.563,7.493,11.294,11.269,0.945,0.779,141.379,7.79,11.89,11.851,0.937
model1058,200,50,2,relu,1,0.832,112.07,7.254,10.586,10.551,0.954,0.785,137.499,7.78,11.726,11.71,0.941
model1059,200,50,2,relu,0.75,0.833,111.375,7.146,10.553,10.553,0.952,0.785,137.768,7.576,11.737,11.732,0.938
model1060,200,50,2,relu,0.5,0.809,126.959,7.37,11.268,11.008,0.941,0.762,152.69,7.859,12.357,12.067,0.925
model1061,200,50,2,relu,0.1,0.837,108.593,7.082,10.421,10.421,0.954,0.774,144.396,7.73,12.016,12.016,0.937
model1062,200,50,2,relu,0.05,0.832,111.828,7.229,10.575,10.545,0.955,0.778,141.894,7.819,11.912,11.895,0.941
model1063,200,50,2,relu,0.01,0.831,112.206,7.113,10.593,10.511,0.951,0.787,136.572,7.624,11.686,11.581,0.938
model1064,200,50,2,relu,0.005,0.828,114.221,7.204,10.687,10.684,0.951,0.782,139.353,7.71,11.805,11.805,0.937
model1065,200,50,3,relu,1,0.859,94.138,6.686,9.702,9.691,0.961,0.774,144.447,7.796,12.019,12.014,0.938
model1066,200,50,3,relu,0.75,0.839,107.272,6.939,10.357,10.317,0.953,0.768,148.416,7.807,12.183,12.124,0.931
model1067,200,50,3,relu,0.5,0.839,107.198,7.06,10.354,10.323,0.955,0.782,139.293,7.779,11.802,11.789,0.938
model1068,200,50,3,relu,0.1,0.84,106.276,6.875,10.309,10.2,0.954,0.759,154.334,7.872,12.423,12.3,0.928
model1069,200,50,3,relu,0.05,0.824,117.344,7.146,10.833,10.79,0.948,0.757,155.437,7.818,12.467,12.413,0.929
model1070,200,50,3,relu,0.01,0.841,105.534,6.884,10.273,10.246,0.955,0.783,138.68,7.587,11.776,11.739,0.939
model1071,200,50,3,relu,0.005,0.855,96.264,6.689,9.811,9.803,0.96,0.774,144.711,7.781,12.03,12.015,0.937
model1072,200,50,4,relu,1,0.854,97.092,6.67,9.854,9.837,0.959,0.777,142.5,7.711,11.937,11.903,0.936
model1073,200,50,4,relu,0.75,0.848,101.442,6.769,10.072,10.072,0.959,0.759,154.127,7.831,12.415,12.412,0.932
model1074,200,50,4,relu,0.5,0.838,107.451,6.879,10.366,10.238,0.952,0.773,145.173,7.725,12.049,11.922,0.932
model1075,200,50,4,relu,0.1,0.848,101.157,6.916,10.058,10.028,0.96,0.777,142.73,7.853,11.947,11.939,0.939
model1076,200,50,4,relu,0.05,0.835,109.541,6.941,10.466,10.424,0.953,0.78,140.705,7.706,11.862,11.805,0.937
model1077,200,50,4,relu,0.01,0.851,98.899,6.708,9.945,9.907,0.958,0.764,151.396,7.831,12.304,12.258,0.932
model1078,200,50,4,relu,0.005,0.857,94.984,6.599,9.746,9.735,0.961,0.781,139.99,7.688,11.832,11.808,0.939
model1079,200,50,5,relu,1,0.838,107.602,7.107,10.373,10.287,0.955,0.783,139.193,7.852,11.798,11.754,0.938
model1080,200,50,5,relu,0.75,0.857,94.856,6.543,9.739,9.727,0.959,0.775,144.365,7.745,12.015,11.993,0.934
model1081,200,50,5,relu,0.5,0.852,98.63,6.746,9.931,9.919,0.96,0.785,137.516,7.619,11.727,11.726,0.94
model1082,200,50,5,relu,0.1,0.852,98.446,6.705,9.922,9.918,0.958,0.777,142.882,7.747,11.953,11.941,0.936
model1083,200,50,5,relu,0.05,0.823,117.751,7.135,10.851,10.85,0.95,0.772,145.994,7.83,12.083,12.078,0.935
