,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,VAL,CEN,TLA_med,TLA_pred
126,59.9,-1.0,-1.0,19.5,56.15,44.0,103.27,26.2,4.58,28.3,44.36102
127,48.9,-1.0,40.1,53.4,63.02,21.8,96.214,43.1,36.59,38.2,36.027527
128,-1.0,32.3,67.3,82.9,-1.0,31.2,-1.0,24.6,44.57,58.44,58.726707
129,-1.0,46.1,32.1,83.9,-1.0,25.8,-1.0,42.4,-1.0,2.31,46.03972
130,-1.0,-1.0,-1.0,20.6,-1.0,14.6,50.625,34.1,17.7,17.4,25.608454
131,-1.0,-1.0,-1.0,41.4,40.98,40.3,79.751,37.0,32.8,24.8,37.687515
132,-1.0,84.8,74.4,62.5,66.19,65.2,80.333,-1.0,93.0,50.8,80.86177
133,-1.0,5.91,5.2,8.15,-1.0,7.68,61.56,10.36,10.33,6.64,10.757785
134,19.17,29.26,19.21,-1.0,-1.0,18.63,47.73,0.04,17.42,16.47,18.103216
135,-1.0,40.8,30.6,37.3,-1.0,-1.0,-1.0,20.8,47.01,21.84,74.942924
136,-1.0,16.3,32.6,3.3,-1.0,-1.0,-1.0,-1.0,22.68,16.58,31.350916
137,-1.0,28.2,41.7,84.0,55.15,32.9,65.317,-1.0,41.7,27.8,44.575897
138,19.5,-1.0,-1.0,38.1,-1.0,14.0,31.969,6.0,10.5,27.3,17.783195
139,13.6,-1.0,-1.0,26.7,29.31,21.3,32.638,18.1,37.12,29.9,34.764103
140,-1.0,-1.0,26.7,59.3,-1.0,-1.0,-1.0,-1.0,37.27,54.93,45.483425
141,-1.0,38.0,48.8,58.3,-1.0,35.9,-1.0,30.9,29.12,0.64,42.1523
142,-1.0,-1.0,168.9,336.9,127.98,61.4,221.25,-1.0,98.1,88.4,105.886024
143,-1.0,4.4,21.6,19.3,-1.0,-1.0,-1.0,-1.0,10.05,4.84,19.119217
144,-1.0,-1.0,-1.0,38.4,43.77,22.9,82.862,33.7,43.5,37.5,39.895054
145,-1.0,75.1,76.2,176.3,168.03,38.4,201.34,95.0,113.6,90.2,96.954094
146,-1.0,30.7,18.2,-1.0,-1.0,-1.0,-1.0,-1.0,22.12,31.95,29.476591
147,39.4,-1.0,-1.0,-1.0,38.67,29.4,72.591,39.8,26.2,36.9,32.171562
148,99.4,81.8,102.5,326.5,121.71,59.4,195.82,85.2,99.39,137.4,87.60077
149,-1.0,36.4,35.1,157.2,-1.0,31.9,150.85,-1.0,51.6,68.2,53.33782
150,-1.0,53.8,77.2,-1.0,82.9,-1.0,108.08,-1.0,-1.0,115.41,66.53223
151,-1.0,-1.0,-1.0,33.6,22.28,28.8,46.956,24.3,41.8,35.5,37.705498
152,-1.0,96.3,99.0,105.3,401.07,72.8,140.45,-1.0,92.1,77.4,94.52781
153,-1.0,-1.0,64.8,84.3,39.82,21.3,48.356,16.0,26.0,34.9,32.28903
154,70.2,-1.0,-1.0,192.4,170.26,49.6,108.38,47.5,56.81,57.4,70.60854
155,-1.0,3.6,41.7,26.2,-1.0,-1.0,-1.0,-1.0,23.08,29.11,32.580135
156,-1.0,56.6,81.2,95.1,-1.0,85.0,94.619,57.0,15.6,54.5,68.479454
157,24.6,-1.0,19.8,55.1,27.47,19.6,74.045,21.3,11.26,31.1,22.224222
158,1.2,86.4,-1.0,47.9,46.5,-1.0,30.356,-1.0,46.78,50.43,69.13918
159,-1.0,55.1,40.5,54.9,17.6,26.5,64.054,-1.0,-1.0,51.46,31.185354
160,-1.0,15.9,38.8,-1.0,24.8,-1.0,37.441,-1.0,-1.0,20.59,32.205074
161,-1.0,35.0,32.7,49.9,57.89,39.7,91.255,-1.0,35.2,44.9,40.91771
162,-1.0,6.8,26.7,55.2,-1.0,-1.0,-1.0,23.2,16.65,29.27,27.455349
163,48.5,-1.0,-1.0,90.3,125.9,31.3,60.086,-1.0,39.68,58.36,50.480713
164,-1.0,27.3,35.9,-1.0,64.3,-1.0,56.254,-1.0,-1.0,37.69,40.619816
165,19.32,28.49,24.0,-1.0,23.18,20.33,132.66,28.14,21.38,20.44,19.073713
166,-1.0,5.9,39.5,-1.0,17.2,-1.0,72.378,-1.0,14.54,7.36,15.350004
167,-1.0,-1.0,-1.0,21.5,33.23,15.2,44.211,7.3,12.2,14.3,18.166056
168,-1.0,27.7,43.3,39.2,-1.0,23.9,44.986,24.8,25.3,36.9,36.03041
169,-1.0,36.74,28.57,8.67,-1.0,-1.0,146.45,24.89,16.86,18.97,23.601349
170,22.8,-1.0,-1.0,43.6,51.93,12.7,110.45,-1.0,28.1,38.4,34.4754
171,-1.0,112.5,106.3,113.3,261.03,82.3,286.53,-1.0,122.0,118.2,128.31218
172,36.5,12.5,-1.0,29.4,22.4,-1.0,26.951,-1.0,31.31,34.51,24.143827
173,-1.0,3.7,37.1,38.3,-1.0,-1.0,-1.0,-1.0,24.14,48.38,34.377674
174,49.7,-1.0,-1.0,111.2,59.58,34.6,128.17,44.2,37.22,31.4,47.957966
175,-1.0,18.8,60.2,-1.0,28.2,-1.0,46.374,-1.0,13.98,39.65,27.029863
176,-1.0,25.3,46.2,90.5,94.21,24.2,42.149,-1.0,-1.0,37.6,47.69887
177,-1.0,-1.0,-1.0,-1.0,34.64,8.3,49.399,16.1,17.6,26.6,19.292076
178,-1.0,47.1,63.5,56.2,-1.0,35.0,-1.0,28.7,26.36,30.29,40.695457
179,-1.0,-1.0,-1.0,52.5,22.96,14.6,44.339,21.7,24.3,35.0,26.96274
180,-1.0,22.8,26.1,36.6,-1.0,21.0,-1.0,-1.0,20.8,30.8,28.333355
181,23.6,40.8,-1.0,44.4,31.3,-1.0,23.678,-1.0,19.35,49.07,36.550705
182,28.09,41.03,49.53,-1.0,59.45,14.98,35.13,20.57,20.29,47.04,30.805658
183,-1.0,-1.0,109.8,118.3,222.44,55.7,94.204,77.9,100.6,113.5,111.85088
184,-1.0,128.3,205.6,443.0,-1.0,137.3,-1.0,89.9,-1.0,387.25,299.79773
185,48.8,37.0,55.2,79.6,65.74,-1.0,121.33,57.1,32.65,48.3,36.086567
186,-1.0,-1.0,-1.0,6.0,9.45,17.7,25.62,15.8,16.4,22.2,19.776186
187,-1.0,24.2,35.1,58.2,-1.0,26.2,51.28,35.8,25.6,42.6,34.295475
188,-1.0,30.2,50.6,61.7,41.36,35.9,81.844,-1.0,51.2,27.3,45.853703
189,39.5,6.6,-1.0,19.3,36.0,15.4,44.715,-1.0,17.99,1.03,25.806707
190,-1.0,65.2,72.6,279.0,188.53,92.8,205.88,-1.0,92.0,66.5,102.313095
191,-1.0,20.3,0.5,48.0,-1.0,-1.0,-1.0,18.7,20.02,6.67,42.134686
192,53.34,-1.0,40.1,-1.0,45.48,42.21,65.99,48.58,37.67,47.86,40.172802
193,22.55,-1.0,26.19,28.07,32.32,12.96,36.89,21.51,20.59,28.17,24.551739
194,86.0,58.1,105.9,384.9,299.76,75.1,220.55,-1.0,184.41,128.0,128.51675
195,-1.0,21.9,48.9,53.4,-1.0,51.0,-1.0,30.7,22.44,27.68,38.234173
196,-1.0,22.1,41.7,58.4,-1.0,-1.0,-1.0,-1.0,17.57,23.75,34.83924
197,-1.0,28.5,16.4,7.7,-1.0,-1.0,-1.0,-1.0,-1.0,55.08,20.24074
198,34.7,-1.0,-1.0,124.4,103.3,41.6,95.734,38.7,79.19,44.0,72.00005
199,-1.0,-1.0,46.2,82.1,54.75,69.9,73.777,40.4,66.7,43.1,59.82475
200,-1.0,2.3,11.0,3.3,-1.0,-1.0,-1.0,-1.0,9.25,9.72,15.926932
201,-1.0,-1.0,-1.0,-1.0,-1.0,23.4,108.51,30.0,32.0,35.9,38.714878
202,-1.0,60.5,11.5,18.5,41.88,31.9,85.862,-1.0,54.6,36.1,32.09779
203,-1.0,21.1,35.9,58.7,-1.0,24.1,63.125,18.0,27.6,53.5,35.537437
204,-1.0,11.2,-1.0,-1.0,20.8,-1.0,29.689,-1.0,17.89,24.72,21.732338
205,-1.0,59.4,71.3,97.3,-1.0,51.4,-1.0,54.1,45.49,40.59,64.61735
206,-1.0,12.7,-1.0,-1.0,40.4,-1.0,50.219,-1.0,20.67,15.75,21.878838
207,-1.0,-1.0,117.1,325.2,81.5,70.5,133.02,81.4,61.5,82.0,74.83317
208,-1.0,22.9,32.4,44.7,-1.0,15.6,-1.0,9.3,17.45,40.45,29.067286
209,19.1,39.9,-1.0,17.8,-1.0,20.6,20.628,8.4,20.96,24.25,28.783195
210,-1.0,28.9,40.2,44.3,-1.0,11.8,-1.0,17.8,21.51,27.77,31.882643
211,-1.0,-1.0,-1.0,25.8,31.34,-1.0,33.2,51.9,24.2,17.6,29.399675
212,-1.0,12.67,18.0,20.05,41.78,12.8,78.93,18.61,21.99,10.87,22.418959
213,-1.0,-1.0,51.6,43.7,38.6,44.5,57.712,-1.0,-1.0,55.63,46.242558
214,36.0,40.4,94.3,86.2,68.69,32.7,113.79,22.5,56.63,64.9,64.61567
215,-1.0,19.8,49.3,29.1,-1.0,17.2,-1.0,12.0,12.31,22.1,28.27149
216,-1.0,47.7,60.7,122.9,32.27,35.6,119.41,-1.0,41.3,43.8,53.62528
217,-1.0,17.4,66.4,80.7,-1.0,29.2,-1.0,27.0,24.71,9.19,42.087875
218,75.9,-1.0,-1.0,241.4,176.59,76.7,101.2,63.0,100.07,98.5,101.24313
219,-1.0,17.8,26.7,45.6,47.51,18.2,51.311,-1.0,27.1,21.2,30.270279
220,-1.0,51.7,37.7,62.8,95.76,41.3,90.949,-1.0,32.7,41.8,45.411407
221,41.1,41.3,-1.0,80.6,79.75,36.0,-1.0,30.6,44.28,44.9,50.71271
222,-1.0,-1.0,21.7,24.5,52.87,23.2,56.075,23.4,25.4,36.7,28.099789
223,-1.0,57.2,-1.0,115.0,140.3,23.2,234.34,67.1,83.56,51.8,73.23095
224,-1.0,50.9,62.3,22.1,-1.0,-1.0,-1.0,-1.0,3.32,54.03,46.79565
225,12.34,19.52,28.69,-1.0,-1.0,16.68,72.84,20.69,16.81,21.98,19.502277
226,18.26,24.49,25.58,-1.0,-1.0,22.18,86.94,22.32,27.63,23.9,24.011084
227,-1.0,61.9,102.6,-1.0,-1.0,52.6,-1.0,53.2,61.46,79.87,67.714195
228,-1.0,-1.0,29.7,38.3,-1.0,-1.0,-1.0,-1.0,64.56,55.84,63.307327
229,-1.0,29.0,42.8,82.8,-1.0,28.2,85.032,53.0,42.3,46.0,47.718235
230,27.1,14.4,-1.0,-1.0,32.7,15.1,32.233,-1.0,21.21,33.42,28.060806
231,-1.0,42.4,-1.0,-1.0,36.2,-1.0,34.153,-1.0,26.97,48.97,46.69764
232,-1.0,59.8,85.0,44.7,105.33,62.3,109.17,-1.0,46.4,78.7,63.21229
233,-1.0,47.2,38.4,43.8,92.28,37.1,83.538,-1.0,46.3,51.3,48.75551
234,-1.0,29.7,77.5,52.7,-1.0,30.1,70.061,29.3,33.8,12.5,49.06606
235,91.96,79.72,74.9,-1.0,33.25,51.1,125.13,95.01,72.04,69.16,73.395424
236,-1.0,18.8,20.2,24.9,22.24,26.4,29.02,-1.0,10.1,16.7,20.879843
237,-1.0,-1.0,-1.0,33.0,24.01,19.9,48.681,22.6,11.5,12.7,22.607872
238,-1.0,-1.0,-1.0,-1.0,16.57,13.2,11.537,9.7,18.7,12.6,18.058449
239,38.22,36.84,96.19,221.41,-1.0,144.91,-1.0,33.44,129.52,145.48,125.08663
240,-1.0,-1.0,-1.0,76.7,33.65,17.9,75.424,41.6,25.3,28.8,36.940304
241,-1.0,44.9,63.9,71.6,-1.0,48.3,-1.0,56.2,42.28,49.2,58.237667
242,-1.0,19.7,20.8,16.6,-1.0,-1.0,-1.0,-1.0,13.49,23.48,25.676504
243,34.2,-1.0,-1.0,61.1,45.38,22.5,94.09,35.9,26.83,23.1,35.177185
244,-1.0,21.8,-1.0,-1.0,75.3,-1.0,36.501,-1.0,15.07,32.19,37.081196
245,-1.0,-1.0,-1.0,-1.0,28.4,13.6,47.01,10.5,19.2,18.9,23.12433
246,-1.0,33.8,52.3,70.5,-1.0,22.4,86.25,37.6,30.3,45.0,38.412235
247,-1.0,21.6,12.3,48.1,-1.0,14.2,-1.0,14.7,11.26,4.28,20.337038
248,-1.0,34.7,-1.0,-1.0,18.3,-1.0,25.56,-1.0,37.73,36.57,38.431183
249,-1.0,22.9,16.8,12.9,-1.0,0.0,-1.0,-1.0,-1.0,24.91,19.952347
250,-1.0,31.8,83.0,116.3,-1.0,35.0,-1.0,25.3,23.34,57.96,48.75037
251,-1.0,33.09,25.03,44.42,-1.0,41.18,134.0,33.09,28.68,21.94,30.967096
252,-1.0,51.7,77.8,247.2,-1.0,-1.0,-1.0,18.2,55.23,36.07,85.62156
253,-1.0,-1.0,-1.0,34.2,50.27,18.1,58.942,17.0,18.5,30.9,25.533821
254,-1.0,38.7,-1.0,73.8,48.43,37.3,63.032,-1.0,46.7,46.9,38.77782
255,-1.0,-1.0,-1.0,8.5,16.38,15.0,16.482,20.7,7.9,18.9,14.351355
256,14.4,51.7,-1.0,12.1,16.0,13.5,15.41,-1.0,12.44,21.21,30.648748
257,-1.0,21.8,-1.0,-1.0,38.3,-1.0,52.656,-1.0,21.4,23.68,32.299793
258,5.96,13.53,11.52,19.81,-1.0,7.96,-1.0,8.36,16.8,10.09,17.058073
259,33.65,-1.0,45.08,-1.0,46.56,29.4,19.05,31.66,28.39,36.4,33.662376
260,16.63,30.76,19.47,33.79,48.57,26.69,-1.0,19.32,22.29,28.08,25.931257
261,-1.0,31.8,29.4,42.6,66.98,26.0,69.476,46.2,33.99,30.2,34.14344
262,-1.0,18.9,32.5,56.7,-1.0,31.8,-1.0,22.4,37.9,41.22,37.628506
