,AGU,ATM,LDO,LPIN,OBL,SFE,TLA,VAL,CEN,MIR_med,MIR_pred
197,-1.0,-1.0,-1.0,54.8,14.5,55.892,21.4,27.0,17.8,25.59,36.951267
198,-1.0,-1.0,61.35,57.1,-1.0,46.27,-1.0,-1.0,-1.0,50.09,43.726578
199,29.5,-1.0,-1.0,27.4,17.0,83.864,17.7,23.3,21.69,46.18,36.12699
200,-1.0,-1.0,50.2,103.3,-1.0,124.2,44.82,-1.0,-1.0,72.1,67.931526
201,-1.0,-1.0,14.2,23.9,11.3,73.809,20.1,19.0,10.2,27.67,22.145016
202,-1.0,53.5,30.3,223.4,24.7,207.79,73.4,54.3,171.48,122.69,338.96756
203,49.6,27.1,-1.0,56.0,33.0,84.492,42.3,36.1,42.78,58.11,56.37903
204,103.1,59.8,69.2,442.2,64.5,198.6,144.4,-1.0,145.4,310.75,188.62833
205,47.3,-1.0,41.12,-1.0,56.54,48.62,46.02,119.04,54.58,177.35,36.51705
206,15.9,21.6,-1.0,22.7,10.2,24.821,-1.0,-1.0,14.68,16.3,23.782156
207,40.0,16.1,-1.0,47.6,26.2,50.817,34.92,-1.0,27.84,51.0,50.0608
208,-1.0,9.7,9.4,19.6,10.1,15.281,12.4,-1.0,11.0,14.57,3.981699
209,-1.0,-1.0,-1.0,17.3,15.9,65.716,24.6,2.5,-1.0,39.03,41.20259
210,-1.0,29.3,34.5,-1.0,-1.0,61.955,-1.0,-1.0,20.62,26.7,21.443277
211,42.5,-1.0,-1.0,124.1,65.5,98.392,42.9,35.7,68.28,22.18,94.27854
212,26.0,-1.0,-1.0,19.6,-1.0,37.82,33.24,-1.0,18.95,27.5,31.22481
213,11.1,41.2,-1.0,8.8,8.7,16.778,16.53,-1.0,8.81,11.8,14.958238
214,-1.0,-1.0,102.8,353.5,49.1,152.21,49.0,67.3,55.7,85.06,75.28549
215,-1.0,41.8,30.6,-1.0,-1.0,55.954,-1.0,-1.0,-1.0,61.2,50.111732
216,39.6,27.6,-1.0,37.7,32.5,71.132,44.4,32.7,33.92,34.05,43.456905
217,-1.0,41.4,88.4,230.7,70.5,68.728,72.0,-1.0,39.7,115.72,65.669334
218,-1.0,35.9,51.1,118.0,43.1,89.386,63.3,-1.0,-1.0,61.37,93.29224
219,-1.0,39.2,26.0,30.5,39.5,29.483,42.0,-1.0,35.0,26.73,24.682278
220,39.0,54.1,-1.0,47.5,44.0,61.073,-1.0,54.1,47.32,53.27,53.669853
221,-1.0,64.5,68.1,90.4,82.1,105.63,-1.0,-1.0,71.0,60.73,96.57304
222,-1.0,25.8,61.3,89.4,38.4,100.7,46.26,-1.0,-1.0,69.0,73.84582
223,23.0,-1.0,-1.0,16.4,-1.0,27.842,24.49,-1.0,19.0,31.2,22.218533
224,-1.0,15.1,27.3,19.6,19.1,80.356,19.0,57.1,19.7,41.84,31.463835
225,-1.0,-1.0,11.7,14.6,15.5,33.608,23.2,16.8,13.1,23.45,29.284952
226,-1.0,-1.0,34.5,75.8,39.5,56.406,38.2,52.6,29.0,42.94,51.862957
227,-1.0,48.1,37.7,44.7,48.6,107.22,37.0,-1.0,36.8,49.07,67.039955
228,-1.0,8.1,6.5,4.3,-1.0,19.308,-1.0,-1.0,-1.0,4.0,14.938931
229,-1.0,-1.0,30.5,39.9,40.9,29.189,25.1,39.6,25.8,24.7,32.789448
230,-1.0,-1.0,133.9,275.9,61.0,172.55,106.1,74.3,61.3,82.27,98.36773
231,46.8,33.2,-1.0,64.2,-1.0,58.415,54.9,35.7,52.34,109.76,68.616295
232,29.7,12.3,-1.0,-1.0,19.2,53.621,30.14,-1.0,21.88,46.1,41.8256
