,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN_med,CEN_pred
144,-1.0,23.4,22.4,36.5,-1.0,-1.0,-1.0,37.74,-1.0,18.22,21.443554
145,-1.0,54.8,83.1,191.2,185.05,76.7,161.89,53.1,-1.0,95.1,59.266113
146,-1.0,-1.0,28.0,26.1,15.75,17.0,58.448,24.5,16.7,22.5,20.349566
147,-1.0,34.3,37.4,108.2,70.34,30.2,102.64,40.6,-1.0,30.1,32.03184
148,13.0,21.7,-1.0,-1.0,22.2,17.4,52.242,25.22,-1.0,15.92,17.533545
149,-1.0,32.9,38.7,162.1,-1.0,26.8,86.767,40.7,35.6,29.1,30.549307
150,42.1,41.3,41.6,49.4,49.41,40.3,68.674,44.6,41.2,51.35,43.14068
151,52.2,49.1,-1.0,88.9,52.48,50.8,94.06,-1.0,49.6,55.5,50.77877
152,17.7,68.1,-1.0,36.9,-1.0,7.2,60.264,16.02,29.0,10.6,18.384003
153,-1.0,5.7,5.8,11.5,-1.0,-1.0,-1.0,-1.0,-1.0,10.85,7.918372
154,-1.0,64.3,57.0,221.3,288.41,54.6,163.8,94.4,72.7,94.5,112.28224
155,-1.0,9.57,23.87,-1.0,253.64,5.37,57.29,23.33,7.93,16.98,14.688731
156,-1.0,-1.0,-1.0,17.8,18.77,28.5,28.485,11.9,25.7,14.0,16.829763
157,-1.0,-1.0,-1.0,20.1,26.55,21.5,28.045,29.2,13.0,12.8,23.210028
158,25.5,-1.0,-1.0,-1.0,42.92,7.1,55.675,36.6,24.5,48.6,24.657051
159,21.93,59.06,48.6,176.47,-1.0,52.38,-1.0,68.72,23.86,74.0,55.58919
160,33.5,-1.0,-1.0,43.7,56.55,30.3,59.184,34.7,35.0,28.04,33.3789
161,10.9,-1.0,-1.0,-1.0,42.1,29.2,66.352,4.6,-1.0,33.6,26.784355
162,12.3,-1.0,-1.0,31.3,12.9,14.4,40.517,18.5,15.3,12.8,16.260605
163,21.04,31.21,32.49,-1.0,-1.0,28.23,55.17,21.85,21.63,26.61,25.79341
164,-1.0,51.9,-1.0,143.3,-1.0,61.3,-1.0,-1.0,62.4,58.53,52.032043
165,23.65,47.44,41.19,71.81,-1.0,31.93,-1.0,28.59,13.59,23.7,28.534733
166,-1.0,12.3,11.9,8.3,-1.0,-1.0,-1.0,-1.0,-1.0,4.27,11.102455
167,23.2,-1.0,-1.0,23.7,-1.0,13.3,24.769,19.2,17.6,13.03,15.263681
168,-1.0,26.2,48.2,43.6,-1.0,45.8,150.76,-1.0,-1.0,44.3,49.840717
169,16.0,18.8,-1.0,22.2,49.8,16.0,-1.0,29.01,-1.0,25.79,21.88686
170,46.0,-1.0,-1.0,62.7,54.14,82.7,83.278,65.2,35.8,52.63,61.445084
171,-1.0,64.4,103.4,252.5,-1.0,-1.0,-1.0,118.88,15.5,48.81,68.30943
172,28.76,59.13,61.42,-1.0,65.38,43.1,74.86,65.55,40.2,65.6,65.19995
173,-1.0,85.8,42.9,41.2,-1.0,-1.0,-1.0,93.88,62.6,67.82,46.23701
174,22.9,-1.0,-1.0,59.9,67.71,23.8,47.193,25.5,26.8,33.2,27.212109
175,20.7,27.6,-1.0,72.8,53.51,23.2,75.912,41.1,25.6,19.32,32.298786
176,50.9,98.6,-1.0,54.4,69.5,41.8,68.008,36.21,-1.0,38.43,40.284843
177,-1.0,7.5,-1.0,-1.0,36.3,-1.0,27.45,14.1,-1.0,10.21,13.743025
178,-1.0,-1.0,-1.0,-1.0,21.9,-1.0,31.656,8.03,-1.0,11.48,15.41579
179,-1.0,104.7,64.8,335.4,126.48,83.1,220.28,116.6,105.8,137.8,139.13486
180,-1.0,16.0,13.3,27.3,-1.0,-1.0,-1.0,12.32,-1.0,11.14,12.749081
181,-1.0,33.7,43.1,29.1,-1.0,-1.0,-1.0,40.43,-1.0,50.5,26.526627
182,-1.0,15.4,-1.0,-1.0,41.2,-1.0,65.155,33.79,-1.0,34.1,25.247627
183,-1.0,71.2,-1.0,-1.0,61.2,-1.0,49.405,70.86,-1.0,47.87,25.907364
184,27.1,14.4,-1.0,-1.0,32.7,15.1,32.233,33.42,-1.0,21.21,24.046803
185,40.07,43.85,40.5,-1.0,-1.0,42.52,32.17,40.8,30.97,41.43,42.438007
186,26.33,25.03,18.68,33.51,-1.0,20.65,-1.0,29.94,10.47,15.04,23.511467
187,41.4,4.3,-1.0,32.7,43.6,20.6,-1.0,23.37,-1.0,27.04,22.218086
188,-1.0,76.0,87.9,107.6,65.96,82.4,95.377,96.0,-1.0,64.5,79.78464
189,-1.0,130.4,163.8,165.5,147.54,128.9,111.86,153.4,157.7,123.5,134.54831
190,-1.0,20.8,69.9,61.7,-1.0,32.1,-1.0,-1.0,38.4,30.64,33.251812
191,-1.0,16.9,29.0,63.4,-1.0,31.9,-1.0,29.15,17.3,49.9,24.903883
192,-1.0,-1.0,-1.0,22.1,34.57,20.7,45.515,14.5,17.9,15.8,19.063665
193,14.8,18.7,-1.0,25.6,30.1,19.9,34.257,9.89,-1.0,20.71,17.798725
194,-1.0,15.1,35.0,-1.0,-1.0,27.8,-1.0,-1.0,-1.0,27.78,29.214636
195,-1.0,-1.0,-1.0,23.3,30.45,6.7,29.546,25.8,39.2,21.1,19.920835
196,56.6,45.7,-1.0,99.5,89.23,45.7,145.99,-1.0,54.8,48.46,51.279602
197,-1.0,37.1,95.5,123.2,-1.0,38.8,-1.0,55.49,27.5,39.8,43.28464
198,-1.0,34.1,52.4,53.5,-1.0,38.0,71.467,44.4,51.5,39.0,40.493122
199,-1.0,51.1,77.5,147.8,44.93,55.1,90.766,44.5,-1.0,37.7,41.91568
200,-1.0,25.8,51.8,37.0,65.73,29.8,54.014,39.5,-1.0,20.0,35.646553
201,-1.0,6.6,30.3,21.7,-1.0,18.2,-1.0,-1.0,-1.0,13.51,20.278767
202,-1.0,34.8,56.2,56.0,-1.0,27.2,-1.0,-1.0,37.4,27.21,30.988184
203,-1.0,51.9,65.3,-1.0,-1.0,39.7,-1.0,96.87,39.6,45.05,35.19505
204,67.2,47.2,-1.0,130.7,85.21,68.0,96.919,95.8,52.2,89.28,78.63285
