,AGU,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,ATM_med,ATM_pred
130,-1.0,41.8,-1.0,-1.0,19.0,-1.0,-1.0,-1.0,21.38,29.3,22.279041
131,-1.0,53.4,78.7,-1.0,30.9,-1.0,49.61,27.6,28.07,35.7,29.293226
132,-1.0,41.7,136.6,90.41,32.8,130.51,40.9,-1.0,-1.0,19.0,29.854153
133,21.8,29.0,-1.0,-1.0,33.68,136.56,20.07,22.57,30.77,31.61,30.220999
134,-1.0,22.5,47.1,44.98,12.2,79.77,25.3,36.6,24.8,24.4,24.096783
135,21.3,-1.0,31.1,26.23,23.2,57.159,23.3,19.0,15.96,9.7,21.232054
136,-1.0,40.8,19.1,-1.0,-1.0,-1.0,-1.0,-1.0,20.1,11.9,20.239918
137,-1.0,-1.0,-1.0,29.4,-1.0,37.751,34.93,-1.0,19.96,35.8,25.230286
138,-1.0,48.1,168.4,135.26,43.6,170.66,52.8,-1.0,57.3,53.5,55.77595
139,53.0,-1.0,156.8,139.53,43.6,117.49,-1.0,63.0,51.79,54.9,63.438313
140,7.11,-1.0,38.32,-1.0,11.62,-1.0,12.32,12.84,11.23,8.05,18.511791
141,-1.0,68.4,45.7,-1.0,-1.0,-1.0,19.0,-1.0,16.31,19.8,22.558746
142,-1.0,38.6,41.5,59.51,44.9,79.193,45.0,-1.0,29.4,29.6,35.42567
143,-1.0,95.5,86.4,-1.0,45.5,-1.0,-1.0,31.3,58.69,66.4,40.023056
144,43.68,62.67,67.12,-1.0,24.59,-1.0,48.41,37.25,28.92,36.36,32.510223
145,22.2,-1.0,-1.0,39.0,25.3,43.982,62.36,-1.0,39.94,59.2,42.53286
146,24.16,42.48,71.77,-1.0,39.87,-1.0,26.81,28.22,29.75,38.83,32.343975
147,-1.0,36.6,-1.0,-1.0,25.4,-1.0,-1.0,23.4,28.83,31.1,26.856392
148,14.33,21.96,-1.0,-1.0,21.96,54.3,19.32,22.22,18.5,21.47,24.942184
149,-1.0,33.9,42.8,-1.0,-1.0,-1.0,-1.0,29.9,35.17,23.5,39.894024
150,-1.0,21.6,26.9,-1.0,14.1,-1.0,20.86,-1.0,16.62,1.4,15.025796
151,-1.0,25.4,39.6,-1.0,-1.0,-1.0,-1.0,-1.0,43.32,46.7,32.245987
152,-1.0,20.6,31.5,-1.0,-1.0,-1.0,30.01,-1.0,22.65,22.8,24.59536
153,18.71,38.09,-1.0,-1.0,16.13,54.62,25.76,31.58,29.53,29.08,25.964394
154,-1.0,82.3,93.0,-1.0,42.4,137.26,61.2,57.7,61.4,56.1,49.689686
155,39.4,-1.0,61.8,70.6,35.8,-1.0,40.15,-1.0,38.17,27.0,39.531147
156,-1.0,62.2,56.8,-1.0,43.9,-1.0,-1.0,37.8,29.54,45.6,39.180553
157,-1.0,21.7,7.0,-1.0,-1.0,-1.0,16.18,-1.0,11.47,13.9,12.187166
158,-1.0,87.4,82.7,-1.0,57.0,-1.0,71.22,56.8,56.04,51.3,42.602036
159,-1.0,27.9,125.8,39.7,23.7,57.806,25.5,-1.0,24.4,17.0,29.165714
160,-1.0,56.2,165.3,157.62,31.6,125.71,45.3,46.4,100.07,26.0,37.68964
161,-1.0,58.9,55.8,-1.0,29.1,-1.0,36.57,32.0,28.48,43.5,26.769089
162,-1.0,28.0,98.1,-1.0,27.0,-1.0,-1.0,22.2,19.21,29.8,25.691353
163,26.5,52.0,53.4,34.37,21.2,100.95,21.8,29.1,17.41,17.0,30.46735
164,-1.0,63.2,120.8,-1.0,25.9,-1.0,113.89,90.1,-1.0,28.2,33.78351
165,-1.0,55.5,67.7,-1.0,-1.0,-1.0,-1.0,49.5,55.0,46.1,53.966442
166,-1.0,33.2,-1.0,22.5,-1.0,32.0,51.49,-1.0,63.64,61.9,39.096664
167,-1.0,50.3,-1.0,-1.0,23.2,-1.0,57.23,30.9,25.97,30.0,22.486032
168,-1.0,65.8,203.2,173.01,102.3,139.63,88.1,-1.0,36.0,72.8,67.69224
169,-1.0,11.1,14.2,-1.0,-1.0,-1.0,19.98,-1.0,13.4,19.4,17.447372
170,32.2,-1.0,53.0,44.59,32.1,54.836,-1.0,31.2,41.52,21.0,29.574305
171,-1.0,-1.0,-1.0,55.9,-1.0,73.233,54.3,-1.0,32.4,46.9,46.26817
172,54.68,29.65,-1.0,72.8,21.53,80.45,38.66,41.98,36.05,30.79,40.67803
173,-1.0,40.0,43.9,34.68,44.0,50.804,57.0,-1.0,53.0,28.7,39.476658
174,-1.0,43.5,275.8,-1.0,69.7,227.34,77.9,-1.0,54.6,34.1,78.24553
175,-1.0,98.2,104.6,163.31,104.7,151.88,115.5,55.9,97.19,68.8,69.355255
176,18.1,-1.0,21.4,36.6,17.2,45.144,30.23,-1.0,27.41,50.5,17.559818
177,-1.0,32.1,138.0,-1.0,29.9,-1.0,59.69,13.6,28.1,18.6,25.164524
178,-1.0,45.2,32.2,-1.0,27.9,-1.0,-1.0,25.2,33.37,27.6,24.02438
179,-1.0,65.2,131.6,-1.0,42.3,150.07,61.5,-1.0,42.5,32.2,51.92078
180,-1.0,53.9,41.9,-1.0,17.9,-1.0,49.37,29.7,23.33,11.3,20.020103
181,-1.0,47.6,44.6,-1.0,22.1,-1.0,31.04,20.1,18.79,19.1,22.659462
182,61.47,77.51,-1.0,48.87,105.66,53.65,122.62,90.19,120.12,95.95,99.37734
183,24.6,-1.0,37.2,27.9,13.2,36.546,11.54,-1.0,20.73,16.7,13.854677
184,-1.0,66.7,104.6,-1.0,33.9,-1.0,19.67,41.4,45.6,52.3,37.112957
185,-1.0,93.0,185.0,-1.0,50.4,-1.0,92.88,49.4,61.88,73.0,42.99205
186,-1.0,-1.0,-1.0,33.1,-1.0,35.201,39.92,-1.0,69.31,42.9,18.648582
187,27.2,-1.0,-1.0,57.9,-1.0,48.808,26.15,-1.0,8.73,56.9,21.317936
188,-1.0,-1.0,-1.0,14.4,-1.0,19.484,11.48,-1.0,10.33,7.7,10.271094
189,-1.0,17.1,22.5,31.02,17.0,43.312,18.3,-1.0,16.1,14.3,18.256138
190,-1.0,17.0,14.3,-1.0,-1.0,-1.0,14.23,-1.0,7.62,6.7,10.649226
191,24.49,-1.0,-1.0,-1.0,38.36,58.84,46.3,30.98,39.97,52.06,35.49986
192,-1.0,40.1,-1.0,24.8,-1.0,45.899,58.14,-1.0,-1.0,39.6,27.811436
193,-1.0,31.9,55.5,-1.0,19.6,-1.0,-1.0,24.7,26.38,24.4,21.567167
194,-1.0,-1.0,-1.0,49.2,-1.0,56.958,61.67,-1.0,47.44,49.3,46.01414
195,-1.0,20.7,-1.0,-1.0,-1.0,-1.0,20.53,-1.0,16.0,2.6,13.542159
196,-1.0,46.1,53.4,99.01,33.5,48.956,65.3,-1.0,43.2,26.6,40.37576
197,28.07,31.87,63.48,-1.0,45.26,45.41,39.73,41.27,-1.0,44.23,50.280285
198,-1.0,73.5,-1.0,-1.0,40.0,-1.0,47.06,52.7,43.43,0.7,32.62467
199,-1.0,57.5,56.9,-1.0,43.7,-1.0,19.21,62.5,37.99,26.6,32.09525
200,-1.0,54.8,71.5,-1.0,71.0,68.193,-1.0,57.4,58.4,42.6,48.582813
201,-1.0,40.0,20.5,-1.0,-1.0,-1.0,22.22,-1.0,14.94,4.9,15.818662
202,33.0,-1.0,149.6,224.84,47.2,115.45,71.0,42.3,77.86,45.0,46.530857
203,-1.0,65.5,100.6,103.38,40.0,203.15,45.7,-1.0,39.1,56.9,55.286697
204,-1.0,63.1,73.5,-1.0,41.0,-1.0,-1.0,46.9,40.78,54.3,37.57001
205,-1.0,69.6,-1.0,-1.0,48.5,-1.0,31.69,51.9,42.71,74.5,38.67304
206,28.42,29.8,-1.0,-1.0,45.58,65.22,38.81,22.98,49.15,35.26,37.816692
207,-1.0,56.4,136.8,101.09,26.4,88.056,60.9,38.3,44.43,38.1,38.77677
208,25.7,-1.0,16.1,26.4,9.8,31.255,12.0,-1.0,13.74,8.6,11.168627
209,-1.0,11.7,51.3,-1.0,-1.0,-1.0,15.86,-1.0,21.69,5.8,20.771923
210,17.0,-1.0,56.0,40.89,21.8,69.228,-1.0,24.8,27.91,15.5,26.007732
211,-1.0,16.0,31.1,-1.0,-1.0,-1.0,27.04,-1.0,25.79,26.0,26.093987
212,-1.0,34.2,33.0,-1.0,-1.0,-1.0,27.17,-1.0,-1.0,8.4,23.606792
213,-1.0,33.8,49.2,38.5,25.3,77.551,11.4,53.3,33.4,42.3,32.521294
214,-1.0,28.5,-1.0,-1.0,61.1,-1.0,-1.0,-1.0,45.36,36.2,54.44708
215,33.6,-1.0,52.4,45.27,38.2,92.748,30.4,29.8,25.78,30.9,30.756128
216,-1.0,51.1,51.9,-1.0,36.3,-1.0,-1.0,40.3,31.05,25.0,30.779448
217,40.8,-1.0,183.7,119.84,37.4,79.409,52.0,38.0,42.21,59.1,51.046177
218,-1.0,28.3,84.1,-1.0,20.2,-1.0,3.3,20.2,23.66,22.3,21.639744
219,-1.0,17.2,16.2,27.94,7.5,42.619,15.3,-1.0,17.3,23.7,16.194265
220,31.33,38.87,-1.0,-1.0,38.15,85.79,34.47,42.44,40.36,26.78,44.087574
221,-1.0,86.2,107.1,-1.0,-1.0,-1.0,-1.0,31.0,52.22,40.9,47.641632
222,-1.0,74.3,99.1,-1.0,52.1,-1.0,-1.0,36.9,76.34,46.8,47.34273
223,39.3,-1.0,-1.0,-1.0,51.59,73.09,37.52,53.68,72.35,72.45,56.822865
224,-1.0,57.9,97.9,55.31,46.7,64.339,59.3,-1.0,46.5,54.3,40.84399
225,-1.0,17.0,21.6,-1.0,-1.0,-1.0,17.53,-1.0,14.17,14.2,17.5202
226,-1.0,28.5,20.6,-1.0,0.0,-1.0,37.28,-1.0,49.04,23.3,35.197323
227,-1.0,57.5,41.7,-1.0,-1.0,-1.0,46.39,-1.0,19.7,44.9,20.69712
228,25.14,49.34,-1.0,-1.0,31.23,61.92,32.93,28.11,28.62,28.91,33.224617
229,-1.0,11.9,26.6,-1.0,2.7,-1.0,19.71,-1.0,21.67,30.8,21.502556
230,-1.0,-1.0,-1.0,96.1,-1.0,88.698,60.98,-1.0,52.36,12.2,40.674835
231,-1.0,34.4,54.7,-1.0,22.9,-1.0,-1.0,15.0,20.92,22.7,21.56974
232,47.3,-1.0,36.1,40.7,29.4,47.684,-1.0,47.1,37.16,36.0,30.439407
233,-1.0,94.2,77.2,-1.0,25.2,-1.0,105.34,21.2,-1.0,47.1,41.017025
234,-1.0,32.5,57.1,29.87,23.9,79.177,28.2,-1.0,17.1,21.3,27.439556
235,-1.0,23.3,37.6,25.09,18.4,36.973,9.7,-1.0,-1.0,18.6,19.257122
236,42.12,47.45,-1.0,-1.0,64.23,-1.0,40.22,29.56,29.28,38.44,40.22812
237,-1.0,-1.0,-1.0,45.1,-1.0,39.89,-1.0,-1.0,19.58,28.5,12.352947
238,-1.0,53.0,40.0,-1.0,65.5,-1.0,-1.0,88.7,61.27,52.3,38.38179
239,-1.0,61.2,93.8,185.24,49.6,124.71,56.2,53.8,53.62,80.8,47.4937
240,21.77,33.22,-1.0,-1.0,45.62,54.9,25.98,28.96,39.63,34.11,34.938015
241,-1.0,57.1,46.2,-1.0,23.0,-1.0,-1.0,23.1,-1.0,26.9,25.538986
242,-1.0,33.8,63.3,-1.0,32.4,-1.0,21.55,20.8,33.1,39.7,23.96276
243,-1.0,45.4,67.3,110.12,58.2,104.15,84.0,101.2,66.8,67.1,47.800304
244,-1.0,39.1,209.3,-1.0,-1.0,-1.0,81.52,15.2,34.68,45.7,30.814602
245,-1.0,43.5,75.1,20.2,-1.0,94.014,23.06,-1.0,-1.0,30.7,28.79109
246,-1.0,42.8,-1.0,36.2,-1.0,38.207,31.26,-1.0,18.68,32.7,17.717556
247,-1.0,-1.0,-1.0,132.8,-1.0,60.116,108.6,-1.0,35.24,70.2,39.88755
248,9.6,-1.0,15.2,24.0,9.8,-1.0,32.43,-1.0,-1.0,44.0,31.302221
249,19.29,-1.0,-1.0,65.02,28.18,86.25,21.5,27.25,27.3,16.67,23.9668
250,-1.0,13.0,54.5,73.51,-1.0,56.835,23.1,-1.0,16.7,27.5,13.291924
251,-1.0,62.2,103.2,53.22,54.6,85.131,49.5,-1.0,50.2,59.7,45.986748
252,18.32,26.24,-1.0,-1.0,40.68,109.23,18.28,24.77,31.9,39.13,34.568844
253,-1.0,41.4,166.6,-1.0,50.5,-1.0,72.7,49.4,46.09,15.1,37.82075
254,-1.0,54.7,18.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.5,24.381325
255,-1.0,27.2,-1.0,-1.0,17.4,-1.0,-1.0,-1.0,16.64,13.5,17.994007
256,-1.0,16.94,27.65,31.17,18.08,57.4,12.57,7.73,10.26,11.03,19.951649
257,-1.0,67.3,227.4,75.26,59.6,197.6,45.8,65.1,-1.0,74.6,71.423454
258,-1.0,32.2,23.4,-1.0,-1.0,-1.0,38.01,-1.0,2.02,6.6,23.317741
259,31.23,48.7,89.8,-1.0,46.31,66.44,31.53,37.02,47.28,44.52,42.697605
260,38.27,26.7,-1.0,-1.0,26.92,57.34,26.34,29.94,32.79,31.14,33.01122
261,-1.0,37.5,127.0,89.94,27.3,77.14,29.1,-1.0,22.2,27.9,34.62632
262,14.29,24.19,-1.0,-1.0,19.85,37.82,23.36,15.05,25.78,23.09,18.949095
263,-1.0,34.7,-1.0,41.5,-1.0,29.521,-1.0,-1.0,13.67,20.8,17.598
264,-1.0,36.2,-1.0,-1.0,42.8,-1.0,-1.0,-1.0,47.88,27.9,39.301544
265,-1.0,32.8,102.4,50.58,41.6,67.845,40.1,-1.0,-1.0,33.1,32.462982
266,-1.0,37.6,56.7,44.09,35.5,44.917,37.0,-1.0,44.7,32.0,32.050053
267,-1.0,31.1,62.4,42.2,36.6,49.046,30.9,-1.0,-1.0,35.3,29.961243
268,-1.0,-1.0,157.5,-1.0,86.2,42.928,-1.0,117.4,58.8,48.2,75.72752
269,-1.0,46.2,59.0,-1.0,14.8,-1.0,71.21,22.9,-1.0,23.4,24.568409
270,-1.0,44.8,79.8,-1.0,31.0,-1.0,45.1,42.2,26.7,22.8,28.201653
271,56.71,114.36,-1.0,-1.0,94.3,-1.0,81.62,81.93,128.89,74.17,101.04732
272,-1.0,34.0,39.8,-1.0,18.4,-1.0,-1.0,18.6,18.28,24.3,20.021059
273,17.54,27.7,-1.0,-1.0,33.7,34.58,15.07,17.72,21.31,24.18,25.309723
274,-1.0,136.4,188.7,105.05,40.7,211.95,110.4,-1.0,123.5,54.8,70.67128
