,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,AGU_med,AGU_pred
846,36.9,-1.0,76.2,41.61,34.7,46.283,31.7,30.5,27.82,29.2,33.145897
847,-1.0,23.39,-1.0,-1.0,31.4,35.62,21.41,22.0,26.6,11.21,18.865088
848,23.6,-1.0,45.4,46.86,27.5,83.94,38.7,33.6,36.88,49.8,35.309216
849,48.93,41.72,56.07,-1.0,40.23,43.83,31.29,36.83,-1.0,28.32,38.082
850,34.85,21.87,50.08,-1.0,30.13,-1.0,39.54,52.18,35.63,50.36,45.70285
851,-1.0,-1.0,74.4,70.41,-1.0,86.595,-1.0,85.4,61.42,37.6,33.77081
852,27.7,-1.0,31.5,32.2,-1.0,32.998,29.81,-1.0,-1.0,15.9,20.753141
853,-1.0,-1.0,-1.0,25.02,11.2,27.925,18.9,30.9,11.3,19.7,21.465864
854,-1.0,-1.0,167.0,46.03,31.0,81.564,50.4,33.9,27.72,53.9,50.74458
855,-1.0,-1.0,6.0,-1.0,10.9,13.134,22.9,7.3,16.2,4.9,9.456457
856,31.4,-1.0,36.9,-1.0,28.2,52.641,40.29,-1.0,30.27,41.9,44.017773
857,39.66,-1.0,-1.0,-1.0,44.84,106.86,36.32,63.05,46.8,26.57,34.521294
858,90.65,53.92,-1.0,43.38,86.54,99.82,64.71,72.39,76.17,62.7,68.80401
859,40.23,31.66,-1.0,21.94,29.09,51.36,28.87,20.07,24.63,25.38,23.513494
860,27.1,-1.0,33.7,-1.0,23.2,61.929,44.8,33.2,26.34,22.4,47.792202
861,62.2,-1.0,23.1,49.8,-1.0,42.843,58.59,-1.0,24.07,26.7,23.026304
862,4.1,-1.0,-1.0,41.9,13.9,58.159,12.0,-1.0,20.4,29.1,30.188057
863,-1.0,-1.0,57.5,69.0,39.7,133.99,-1.0,94.9,61.0,67.9,52.634888
864,33.51,16.58,-1.0,-1.0,34.48,16.16,26.1,23.91,25.67,19.36,21.084269
865,-1.0,-1.0,50.1,36.85,11.3,35.939,-1.0,20.1,19.45,14.7,15.202187
866,-1.0,38.18,-1.0,-1.0,28.03,80.73,30.31,35.59,49.49,22.33,27.184645
867,7.5,-1.0,-1.0,10.0,4.0,13.525,11.4,-1.0,5.96,18.1,4.893342
868,14.68,41.38,28.9,-1.0,-1.0,-1.0,24.12,18.65,14.91,27.4,27.353312
869,73.9,57.5,109.5,57.82,54.9,65.977,65.6,64.1,79.21,27.4,44.716328
