,AGU,ATM,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,LDO_med,LDO_pred
132,-1.0,20.0,33.7,37.17,17.9,57.881,22.8,-1.0,39.8,24.6,21.238409
133,-1.0,22.8,10.7,-1.0,-1.0,-1.0,-1.0,-1.0,15.62,35.7,36.067238
134,-1.0,-1.0,58.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.11,34.73265
135,57.3,76.3,-1.0,142.42,54.4,193.07,68.0,43.0,90.13,72.2,68.42179
136,-1.0,23.0,46.4,-1.0,19.2,-1.0,-1.0,20.6,24.6,41.6,38.107754
137,-1.0,-1.0,91.59,-1.0,-1.0,37.47,-1.0,-1.0,-1.0,53.26,47.024258
138,-1.0,40.9,105.5,-1.0,63.3,108.65,53.2,46.8,49.7,77.1,58.48916
139,-1.0,61.3,50.0,56.2,67.3,82.684,66.4,53.1,113.35,64.6,50.665455
140,-1.0,30.4,44.9,-1.0,23.4,-1.0,32.9,28.3,40.87,43.9,40.693718
141,29.27,42.72,-1.0,-1.0,36.69,117.37,42.73,28.95,33.68,40.77,46.56827
142,51.39,75.89,-1.0,-1.0,74.75,20.48,87.19,-1.0,73.54,62.08,68.73791
143,-1.0,10.4,16.0,-1.0,-1.0,-1.0,-1.0,9.5,6.75,24.7,12.106617
144,-1.0,32.7,52.6,48.05,42.7,73.684,25.9,-1.0,27.0,33.4,32.35489
145,-1.0,-1.0,35.29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.26,27.507778
146,104.4,65.2,147.2,137.38,-1.0,-1.0,89.0,89.5,103.51,153.1,64.12507
147,-1.0,29.9,64.1,37.31,46.3,75.983,34.7,-1.0,38.1,28.7,38.30217
148,-1.0,-1.0,70.42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.62,39.03754
149,-1.0,-1.0,44.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.52,32.00052
150,-1.0,48.9,73.1,62.64,32.6,151.54,45.8,-1.0,41.3,53.4,39.974873
151,-1.0,20.4,30.9,-1.0,21.6,-1.0,-1.0,31.6,23.99,21.2,34.005383
152,-1.0,50.9,165.4,186.4,43.7,159.96,69.51,-1.0,-1.0,85.3,74.66733
153,-1.0,66.4,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.86,56.5,50.86604
