,AGU,ATM,LDO,LPIN,OBL,SFE,TLA,VAL,CEN,MIR_med,MIR_pred
110,-1.0,39.3,56.0,61.5,44.8,106.03,39.4,-1.0,38.4,55.96,68.35316
111,33.5,-1.0,-1.0,43.7,30.3,59.184,34.7,35.0,28.04,56.55,39.036057
112,-1.0,-1.0,-1.0,62.5,23.5,57.84,20.7,34.6,27.8,64.44,36.735695
113,-1.0,67.5,71.1,148.7,111.7,104.22,34.7,-1.0,73.1,70.46,80.491165
114,-1.0,-1.0,18.0,14.5,26.2,40.92,19.9,12.1,-1.0,18.47,24.61616
115,41.1,89.6,-1.0,65.2,38.5,70.137,88.82,-1.0,43.93,69.1,68.563156
116,-1.0,23.7,14.3,82.9,28.0,57.422,15.3,-1.0,23.8,14.65,45.79756
117,-1.0,59.0,123.9,-1.0,-1.0,134.46,114.1,-1.0,-1.0,268.6,156.61044
118,-1.0,117.3,125.2,374.1,73.3,323.75,117.8,-1.0,79.3,160.0,172.78719
119,39.2,56.7,-1.0,33.3,33.9,-1.0,49.66,-1.0,51.74,67.4,49.52332
120,-1.0,-1.0,14.47,10.49,-1.0,-1.0,-1.0,-1.0,-1.0,31.38,65.508026
121,-1.0,60.4,82.2,144.9,25.9,75.765,51.2,52.0,44.51,53.48,51.47727
122,-1.0,-1.0,-1.0,17.1,10.2,39.401,9.4,14.3,6.5,15.33,16.701284
123,-1.0,49.4,61.5,69.7,25.4,79.528,49.5,-1.0,50.8,54.26,78.22481
124,-1.0,-1.0,-1.0,23.4,6.9,28.973,14.4,9.4,7.8,16.68,17.948673
125,25.7,-1.0,61.5,19.2,14.3,65.76,11.2,25.4,8.14,22.32,42.828594
126,33.8,24.4,-1.0,102.0,29.1,78.056,29.3,25.0,23.44,35.16,46.30795
127,31.6,29.5,-1.0,50.9,42.4,49.398,-1.0,33.5,26.51,44.99,44.499435
128,16.9,23.2,-1.0,-1.0,19.0,44.767,59.4,-1.0,21.02,37.6,34.66815
129,-1.0,92.8,107.9,163.7,51.9,216.28,70.3,78.9,72.96,88.37,105.497246
130,-1.0,17.8,-1.0,-1.0,-1.0,18.006,50.3,-1.0,14.04,24.4,26.476585
131,-1.0,-1.0,-1.0,17.0,15.9,19.645,23.8,23.4,19.3,13.1,29.578001
132,-1.0,-1.0,18.3,24.2,15.2,33.246,13.3,11.9,12.7,30.92,23.546808
133,-1.0,-1.0,-1.0,114.8,26.1,76.355,29.9,48.3,33.9,63.17,54.462463
134,-1.0,64.7,67.2,252.7,62.0,132.72,65.1,-1.0,62.6,186.28,118.30211
135,75.65,44.56,46.7,-1.0,43.01,22.6,38.74,75.78,48.01,43.18,52.602898
136,-1.0,-1.0,-1.0,-1.0,20.6,82.793,28.2,43.2,30.6,49.0,39.312263
137,48.48,36.57,46.85,-1.0,30.37,40.45,36.61,44.12,34.87,196.09,64.737595
138,-1.0,-1.0,-1.0,41.0,33.7,58.833,40.2,32.3,38.0,56.51,38.420364
139,-1.0,-1.0,16.97,23.31,-1.0,-1.0,-1.0,-1.0,-1.0,115.63,72.18976
140,42.9,-1.0,-1.0,81.1,34.4,88.672,53.0,46.0,44.25,70.06,64.67325
141,-1.0,-1.0,14.2,15.5,30.2,26.993,21.4,20.9,28.5,29.23,27.85046
142,24.4,22.8,-1.0,50.5,23.2,55.171,27.6,21.5,16.52,23.2,40.48151
143,-1.0,-1.0,-1.0,15.1,17.4,41.707,2.0,20.0,20.7,28.36,22.419212
144,-1.0,-1.0,-1.0,34.4,17.2,56.428,21.6,42.8,24.9,44.96,34.14212
145,-1.0,44.5,56.0,121.0,50.5,92.606,42.7,-1.0,36.6,88.15,75.603806
146,-1.0,22.3,40.8,71.4,37.6,74.534,25.5,-1.0,-1.0,53.66,50.836773
147,-1.0,-1.0,27.14,32.37,-1.0,32.37,-1.0,-1.0,-1.0,14.42,27.264402
148,-1.0,9.8,-1.0,-1.0,-1.0,26.659,79.16,-1.0,30.3,41.3,49.36373
149,14.1,14.8,-1.0,-1.0,17.8,48.784,23.44,-1.0,14.67,27.4,31.378506
150,-1.0,30.5,29.8,117.1,57.4,100.61,52.1,-1.0,38.6,109.87,98.90612
151,70.7,63.9,66.0,235.8,58.2,114.15,88.5,52.6,134.27,190.18,130.32715
152,26.3,21.3,-1.0,26.8,12.4,72.583,11.99,-1.0,11.33,33.9,36.938652
153,-1.0,-1.0,18.4,18.1,15.4,64.668,18.4,94.6,14.7,34.05,37.713825
154,-1.0,-1.0,9.4,14.6,20.2,90.163,9.5,96.3,15.6,36.5,32.56825
155,57.4,34.5,-1.0,55.3,35.8,67.192,-1.0,51.0,62.88,68.22,71.868805
156,30.5,-1.0,-1.0,267.8,38.7,118.73,73.5,35.9,50.5,84.62,97.354454
157,-1.0,-1.0,-1.0,25.2,7.6,62.662,16.4,17.3,14.8,22.5,27.124407
158,-1.0,-1.0,53.8,82.6,-1.0,67.146,-1.0,-1.0,-1.0,37.2,50.682514
159,-1.0,10.7,35.1,63.3,10.9,113.33,42.24,-1.0,-1.0,60.7,53.276516
160,-1.0,10.6,-1.0,-1.0,-1.0,12.135,45.94,-1.0,15.25,36.9,27.404158
161,-1.0,41.2,-1.0,51.5,37.6,56.026,29.1,-1.0,34.9,80.09,46.318336
162,-1.0,36.7,22.1,20.4,32.7,39.066,46.1,19.4,44.9,16.4,31.507135
163,-1.0,18.6,20.9,-1.0,-1.0,29.464,18.32,-1.0,-1.0,14.7,20.149323
164,-1.0,38.2,34.3,54.4,34.1,69.362,37.9,-1.0,35.4,54.2,55.243168
165,-1.0,31.8,29.4,42.6,26.0,69.476,30.2,46.2,33.99,66.98,40.964066
166,-1.0,-1.0,34.8,46.1,22.4,29.261,38.2,29.4,31.5,37.21,43.68159
167,35.95,-1.0,35.13,-1.0,34.48,28.44,31.36,40.72,41.44,215.95,94.543884
168,-1.0,48.3,35.6,106.9,37.1,98.732,38.0,42.7,-1.0,54.85,70.592285
169,21.0,18.1,-1.0,19.2,13.0,22.191,23.54,-1.0,19.4,21.2,25.349163
170,-1.0,34.0,34.6,83.1,31.2,94.357,37.2,-1.0,38.7,65.52,63.77871
171,-1.0,26.0,32.9,38.0,53.4,81.213,30.4,-1.0,23.1,39.77,49.29955
172,17.8,-1.0,-1.0,27.1,18.3,36.512,-1.0,27.4,25.25,26.69,29.130789
173,-1.0,90.7,-1.0,-1.0,-1.0,49.35,61.24,-1.0,21.73,73.3,54.655178
174,55.1,-1.0,-1.0,147.0,45.4,89.295,64.0,54.7,50.69,80.81,69.96874
175,28.1,-1.0,21.8,44.8,13.4,73.352,8.7,25.1,15.89,39.69,36.2761
176,-1.0,68.0,67.4,139.5,71.7,96.23,-1.0,-1.0,84.4,76.61,79.95494
177,11.1,-1.0,-1.0,15.0,-1.0,19.672,26.7,-1.0,10.08,24.1,16.67922
178,16.1,47.3,-1.0,21.7,12.4,-1.0,35.23,-1.0,16.62,34.8,30.819708
179,25.3,22.3,-1.0,91.6,23.2,63.151,42.3,27.3,23.05,36.68,53.483196
180,13.5,18.8,-1.0,25.6,10.0,11.861,16.83,-1.0,15.97,19.7,24.920721
181,-1.0,-1.0,100.7,298.8,59.4,253.34,79.1,-1.0,-1.0,250.0,151.66492
182,68.8,-1.0,-1.0,116.9,58.1,154.68,68.5,81.4,77.19,104.13,113.24476
183,-1.0,35.3,41.5,123.3,54.8,78.752,51.8,58.7,64.13,100.85,74.90309
184,-1.0,16.7,6.6,-1.0,-1.0,38.846,-1.0,-1.0,16.12,29.8,23.165154
185,-1.0,41.4,-1.0,49.7,43.3,76.276,53.2,36.7,49.27,51.51,53.53686
186,9.96,25.07,26.86,-1.0,27.92,93.67,18.64,17.53,18.95,116.66,103.592896
187,-1.0,71.6,84.5,172.6,55.2,128.04,-1.0,-1.0,56.8,160.6,121.22688
188,-1.0,-1.0,-1.0,54.8,14.5,55.892,21.4,27.0,17.8,25.59,35.336006
189,-1.0,38.1,68.7,-1.0,-1.0,82.4,57.09,-1.0,-1.0,124.3,90.26007
190,-1.0,-1.0,-1.0,25.7,22.7,49.024,11.0,36.4,15.4,31.1,28.245646
191,-1.0,16.9,10.5,19.6,-1.0,12.54,-1.0,-1.0,-1.0,43.6,26.39266
192,-1.0,37.5,29.4,21.7,40.8,78.62,49.5,-1.0,44.6,51.12,68.74344
193,-1.0,31.2,30.8,87.8,28.8,74.996,23.9,-1.0,24.6,36.8,55.253475
194,-1.0,110.8,37.7,353.4,57.2,322.22,129.4,139.4,113.78,219.85,195.10167
195,100.4,102.2,115.7,377.0,69.6,156.42,121.5,-1.0,120.69,129.5,186.65085
196,-1.0,125.7,-1.0,-1.0,-1.0,-1.0,37.51,-1.0,6.34,8.2,33.614857
197,14.94,21.3,23.05,-1.0,10.51,67.09,13.57,19.06,17.35,45.56,89.7541
198,-1.0,-1.0,-1.0,-1.0,-1.0,25.273,70.19,-1.0,14.82,41.7,33.352783
199,19.7,15.7,-1.0,-1.0,9.9,17.615,33.6,-1.0,21.88,32.6,30.852161
200,71.45,88.03,59.03,-1.0,93.43,89.96,68.74,86.57,93.78,32.04,37.740143
201,-1.0,-1.0,-1.0,99.7,32.0,45.288,56.0,52.9,43.3,49.12,59.671135
202,-1.0,-1.0,47.07,41.43,-1.0,-1.0,-1.0,-1.0,-1.0,93.07,42.17293
203,-1.0,-1.0,13.4,63.2,28.8,24.837,23.0,12.4,20.5,16.45,28.486925
204,-1.0,20.4,41.8,128.6,-1.0,54.001,-1.0,-1.0,-1.0,111.5,49.715763
205,31.8,-1.0,-1.0,36.9,13.4,30.411,25.4,10.3,37.73,15.28,44.789173
206,-1.0,26.9,43.5,44.2,42.5,50.175,46.6,-1.0,43.2,61.89,45.597454
207,-1.0,17.8,16.7,-1.0,-1.0,24.665,18.69,-1.0,12.8,23.1,18.048529
