,AGU,ATM,LDO,MIR,OBL,SFE,TLA,VAL,CEN,LPIN_med,LPIN_pred
1472,-1.0,38.3,46.4,73.07,31.9,122.44,33.9,-1.0,71.1,68.2,74.926926
1473,-1.0,45.0,55.0,-1.0,44.6,84.069,65.4,70.0,68.5,63.1,70.96034
1474,-1.0,-1.0,23.3,14.4,-1.0,27.86,-1.0,-1.0,-1.0,38.2,13.177352
1475,-1.0,50.5,73.7,129.03,60.3,124.78,104.9,56.3,93.98,154.4,124.25957
1476,-1.0,-1.0,-1.0,56.2,22.1,37.02,37.4,19.5,32.9,45.4,27.763996
1477,56.9,63.7,69.7,91.18,51.9,93.835,72.3,59.9,59.01,135.9,146.41368
1478,-1.0,-1.0,-1.0,-1.0,-1.0,55.67,-1.0,-1.0,-1.0,34.66,61.41524
1479,-1.0,28.2,34.1,9.5,19.7,54.737,16.31,-1.0,-1.0,28.3,55.933884
1480,-1.0,48.6,29.5,-1.0,39.2,95.04,69.5,80.4,62.8,57.7,68.37313
1481,-1.0,17.65,12.85,-1.0,9.84,142.49,6.25,5.38,15.12,8.44,26.129023
1482,20.07,55.56,62.2,-1.0,-1.0,-1.0,116.56,25.38,79.88,118.21,166.09073
1483,-1.0,-1.0,60.71,-1.0,-1.0,23.88,-1.0,-1.0,-1.0,47.07,89.2967
1484,-1.0,-1.0,4.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.24,10.543565
1485,59.9,-1.0,-1.0,120.56,67.4,179.8,130.0,51.9,99.78,86.6,202.98172
1486,-1.0,22.3,24.0,10.8,-1.0,35.607,-1.0,-1.0,-1.0,24.2,24.693254
1487,-1.0,26.5,33.2,26.62,16.2,48.357,33.3,53.6,39.3,42.2,31.72707
1488,5.4,-1.0,-1.0,27.4,13.9,26.2,31.08,-1.0,7.71,31.4,8.657151
1489,-1.0,-1.0,-1.0,42.82,39.6,67.361,22.0,33.5,25.4,45.2,26.53543
