,AGU,ATM,LDO,LPIN,MIR,SFE,TLA,VAL,CEN,OBL_med,OBL_pred
190,26.9,73.75,53.02,-1.0,-1.0,76.1,46.0,44.69,64.31,69.51,59.96989
191,-1.0,-1.0,-1.0,72.9,86.13,94.434,27.6,45.2,31.8,30.2,23.186901
192,13.2,21.98,20.56,-1.0,-1.0,47.38,20.4,27.53,38.67,18.47,26.35033
193,28.6,-1.0,-1.0,68.9,88.7,53.613,11.95,-1.0,35.73,22.7,22.742302
194,-1.0,43.9,37.8,107.2,109.13,83.322,46.2,-1.0,5.0,32.9,36.064236
195,-1.0,31.7,45.3,-1.0,-1.0,-1.0,-1.0,32.3,26.9,25.9,31.439514
196,-1.0,-1.0,144.8,313.2,123.8,172.79,-1.0,-1.0,-1.0,98.5,45.307938
197,26.5,-1.0,-1.0,31.3,20.58,41.405,26.2,13.3,14.1,14.6,13.541603
198,18.0,20.0,-1.0,38.4,35.4,39.159,39.24,-1.0,12.7,11.8,9.736482
199,-1.0,-1.0,-1.0,27.7,61.63,100.92,30.1,37.5,35.1,28.2,29.07437
200,27.97,40.01,18.77,47.16,-1.0,-1.0,22.65,29.13,32.21,31.82,29.950203
201,-1.0,23.8,32.7,-1.0,-1.0,-1.0,-1.0,-1.0,27.13,26.6,25.455349
202,32.5,25.1,-1.0,64.3,47.25,56.359,28.4,19.9,17.71,20.0,21.260536
203,-1.0,51.9,41.8,47.6,53.92,102.6,42.6,-1.0,43.5,45.4,44.356728
204,-1.0,28.2,68.9,107.0,-1.0,-1.0,61.2,45.4,43.51,46.9,43.00929
205,46.3,39.6,-1.0,120.9,50.26,93.306,33.0,36.4,37.37,34.0,27.84645
206,-1.0,22.0,59.5,36.9,-1.0,-1.0,-1.0,40.0,33.21,34.2,34.992985
207,90.44,100.16,83.66,-1.0,-1.0,97.6,84.18,102.29,77.52,91.63,83.12634
208,-1.0,-1.0,37.3,31.1,59.33,56.986,41.4,51.8,44.7,39.4,30.422789
209,-1.0,14.7,20.0,28.2,-1.0,-1.0,12.84,-1.0,10.0,0.0,9.523959
210,-1.0,110.2,54.9,325.2,200.79,249.56,111.3,-1.0,-1.0,87.8,35.20382
211,-1.0,52.7,91.4,129.3,72.18,111.49,50.5,-1.0,54.5,46.6,43.314835
212,54.6,53.3,-1.0,103.2,61.38,128.89,-1.0,53.8,52.77,37.0,42.921223
213,-1.0,45.8,67.0,75.2,54.95,89.576,58.8,-1.0,68.0,47.9,49.57582
214,-1.0,25.3,41.5,49.0,-1.0,-1.0,-1.0,23.8,22.43,20.7,26.032352
215,-1.0,22.7,40.8,58.3,15.11,42.152,39.0,-1.0,32.6,7.3,25.469221
216,9.8,11.5,-1.0,-1.0,20.6,13.403,20.75,-1.0,11.57,5.9,8.715886
217,-1.0,42.2,102.7,56.3,-1.0,71.841,70.6,-1.0,47.5,36.7,37.38985
218,-1.0,-1.0,15.0,27.5,33.67,69.94,16.6,30.9,17.1,17.8,12.747553
219,19.0,6.4,-1.0,-1.0,30.1,30.181,24.07,-1.0,13.78,9.9,13.954528
220,-1.0,7.7,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.4,27.5,29.30666
221,100.4,102.2,115.7,377.0,129.5,156.42,121.5,-1.0,120.69,69.6,71.415565
222,27.63,52.31,42.74,139.7,-1.0,-1.0,32.11,13.23,31.12,36.15,30.480982
223,-1.0,20.0,24.0,36.2,23.9,51.474,16.4,-1.0,6.7,31.0,20.551853
224,-1.0,20.8,25.2,34.9,32.68,161.06,25.3,23.9,21.99,18.8,17.292585
225,-1.0,93.2,66.8,190.2,154.57,237.99,78.6,-1.0,51.9,62.5,59.537872
226,-1.0,24.9,28.2,31.7,-1.0,102.13,30.1,-1.0,15.7,28.0,29.22766
227,-1.0,22.9,50.7,237.4,-1.0,-1.0,-1.0,32.6,-1.0,50.3,37.15766
228,41.0,-1.0,-1.0,77.1,61.58,133.45,51.9,37.7,42.69,33.4,33.004673
229,124.2,89.8,86.3,105.2,173.38,194.41,107.5,121.3,119.29,72.6,82.61099
230,-1.0,-1.0,41.1,103.1,168.91,123.71,55.2,-1.0,56.7,49.8,43.005188
231,-1.0,33.4,40.8,45.5,38.34,50.462,38.2,-1.0,31.8,29.4,33.276894
232,-1.0,-1.0,-1.0,38.6,32.71,34.697,46.3,38.1,29.4,24.4,23.67836
233,-1.0,-1.0,-1.0,11.1,20.52,13.205,18.9,14.0,23.3,18.1,14.195553
234,-1.0,26.8,20.8,48.2,-1.0,48.254,26.7,-1.0,22.6,20.8,26.398064
235,-1.0,45.3,31.3,73.6,68.22,132.93,34.0,-1.0,32.9,52.5,36.895214
236,19.97,21.48,22.31,-1.0,-1.0,41.48,24.54,18.26,24.4,17.37,21.141516
237,13.73,18.45,25.01,-1.0,-1.0,51.66,15.53,16.9,22.15,19.06,18.713669
238,86.9,-1.0,-1.0,59.6,81.48,110.7,55.7,95.4,-1.0,48.4,41.948612
239,-1.0,42.1,87.0,101.8,-1.0,-1.0,-1.0,52.7,46.54,52.2,43.100674
240,-1.0,3.91,7.02,18.96,59.98,94.03,13.87,8.16,15.67,2.51,10.026748
