,AGU,ATM,LDO,LPIN,MIR,OBL,TLA,VAL,CEN,SFE_med,SFE_pred
195,-1.0,-1.0,57.1,55.0,53.9,41.1,-1.0,-1.0,-1.0,51.787,81.68453
196,56.4,-1.0,-1.0,94.2,39.61,28.1,65.2,54.9,48.17,63.48,80.00671
197,-1.0,-1.0,-1.0,-1.0,36.0,-1.0,-1.0,-1.0,12.72,40.104,46.740982
198,-1.0,-1.0,-1.0,10.7,10.69,7.7,9.0,16.4,9.8,33.6,21.343155
199,59.02,75.52,38.21,-1.0,30.98,57.36,52.21,76.44,63.67,22.81,76.5653
200,31.7,62.7,-1.0,24.4,-1.0,11.2,15.24,6.6,20.7,47.84,50.185535
201,-1.0,55.2,83.0,140.8,100.75,38.3,66.6,53.2,68.58,119.29,128.61082
202,-1.0,19.5,47.4,32.3,37.25,28.4,38.8,-1.0,26.1,63.5,52.509445
203,44.37,57.19,60.67,-1.0,-1.0,41.91,42.5,77.61,42.54,69.8,88.63945
204,-1.0,-1.0,-1.0,217.75,-1.0,-1.0,-1.0,-1.0,-1.0,65.24,46.230083
205,-1.0,-1.0,63.47,59.27,-1.0,-1.0,-1.0,-1.0,-1.0,73.61,70.38725
206,-1.0,58.0,20.3,220.5,130.48,34.5,36.8,117.8,35.5,178.8,179.79265
207,-1.0,-1.0,-1.0,3.8,6.56,16.8,9.5,14.4,11.1,17.113,20.06844
208,-1.0,-1.0,19.8,112.8,77.99,30.9,39.3,123.1,40.1,138.62,116.63768
209,-1.0,27.6,37.2,28.3,31.19,29.2,27.5,-1.0,20.8,47.935,48.70236
210,-1.0,20.8,25.2,34.9,32.68,18.8,25.3,23.9,21.99,161.06,67.318054
211,-1.0,39.3,38.9,60.8,45.24,30.4,45.4,-1.0,34.0,96.131,77.45533
212,-1.0,-1.0,-1.0,14.0,18.61,13.0,22.3,18.9,19.9,27.087,29.172401
213,-1.0,-1.0,-1.0,29.46,-1.0,-1.0,-1.0,-1.0,-1.0,51.84,64.70828
214,-1.0,-1.0,56.53,124.82,-1.0,-1.0,-1.0,-1.0,-1.0,64.99,62.081
215,-1.0,-1.0,81.19,48.58,-1.0,-1.0,-1.0,-1.0,-1.0,150.64,90.17939
216,-1.0,29.8,32.3,197.5,242.97,62.3,63.3,-1.0,54.2,136.39,147.82489
217,-1.0,25.8,30.8,51.9,49.74,32.3,29.6,-1.0,27.6,57.452,62.48941
218,-1.0,99.2,136.6,358.0,108.02,78.4,98.0,81.2,122.23,226.81,195.34833
219,33.2,41.1,-1.0,51.2,64.6,30.3,-1.0,46.3,43.74,79.477,73.05606
220,32.8,-1.0,-1.0,63.7,59.83,39.3,-1.0,51.0,57.43,73.048,82.63127
221,-1.0,54.5,65.3,143.0,43.48,44.7,42.9,59.4,44.26,58.828,103.34768
222,-1.0,37.8,36.8,79.7,59.57,36.8,49.5,-1.0,50.5,90.171,80.45954
223,-1.0,-1.0,46.3,81.7,107.74,45.9,47.3,77.8,79.4,101.54,93.82063
224,25.79,28.52,21.12,-1.0,-1.0,23.85,29.93,27.59,20.12,36.6,57.51289
225,23.7,25.6,-1.0,27.4,-1.0,16.6,21.5,-1.0,29.5,61.647,45.832203
226,-1.0,54.5,-1.0,161.1,85.14,63.4,70.1,78.8,67.55,76.606,133.34598
227,-1.0,20.9,65.6,-1.0,56.7,-1.0,82.19,-1.0,-1.0,53.393,74.1034
