,AGU,ATM,LDO,MIR,OBL,SFE,TLA,VAL,CEN,LPIN_med,LPIN_pred
175,-1.0,-1.0,-1.0,12.2,-1.0,16.022,-1.0,-1.0,-1.0,7.6,15.42565
176,-1.0,21.2,27.7,46.06,66.4,64.791,30.2,73.4,38.4,58.9,41.133247
177,19.8,16.8,-1.0,22.38,23.2,66.095,30.4,14.0,20.77,60.4,47.400948
178,-1.0,24.1,14.0,35.0,-1.0,29.723,-1.0,-1.0,-1.0,32.9,24.053288
179,-1.0,-1.0,34.03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.77,68.91556
180,-1.0,-1.0,33.56,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.57,67.92326
181,-1.0,41.3,39.2,-1.0,24.9,-1.0,20.93,16.1,19.92,45.9,56.760624
182,-1.0,9.4,14.6,-1.0,-1.0,-1.0,29.57,-1.0,15.35,15.1,32.687855
183,-1.0,-1.0,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.77,84.4,55.901394
184,-1.0,45.1,49.1,112.19,95.7,248.06,136.5,-1.0,76.0,370.2,216.37613
185,60.4,52.1,-1.0,109.03,44.0,131.41,-1.0,90.2,67.44,99.4,104.51067
186,-1.0,-1.0,14.38,-1.0,-1.0,64.18,-1.0,-1.0,-1.0,25.29,27.069378
187,-1.0,24.9,67.3,-1.0,38.8,-1.0,69.72,54.5,55.24,120.0,80.08732
188,-1.0,-1.0,38.53,31.89,-1.0,41.57,-1.0,-1.0,-1.0,102.91,43.413837
189,-1.0,-1.0,71.5,196.7,35.8,113.67,47.72,-1.0,-1.0,222.3,251.67336
190,-1.0,16.0,27.0,-1.0,13.0,-1.0,4.3,11.6,25.44,43.1,40.968006
191,4.3,33.9,-1.0,12.0,-1.0,20.73,-1.0,-1.0,11.06,6.0,8.846022
192,-1.0,47.0,49.8,-1.0,39.0,-1.0,47.56,40.4,47.47,74.3,87.08865
