,0,1,2,3,4,5,6,7,8,9,10,11,12
model246-0.1,50,50,6,relu,0.1,0.7919991672387677,140.28472421070268,7.615558263699023,11.844185248918672,0.7696881115386461,138.95864861224504,7.613135682274008,11.788072302639012
model246-0.05,50,50,6,relu,0.05,0.8012100875910111,134.07248263364858,7.845300874933647,11.578967252464642,0.7803739283012017,132.51136242757218,7.801982201127394,11.511357974955526
model246-0.01,50,50,6,relu,0.01,0.8251873746719545,117.90116706332982,7.227513664243179,10.858230383599798,0.7974179945463125,122.22782722623761,7.345969504928657,11.055669460789682
model246-0.005,50,50,6,relu,0.005,0.8071925014153226,130.03768497290451,7.483971826031582,11.403406726627992,0.790279378158464,126.53491051596151,7.393568511117568,11.248773733877018
model247-1,50,50,6,relu,1.0,0.8066109051643782,130.4299385450783,7.932511845083523,11.42059274053139,0.7784432420736577,133.6762417174175,7.960307557706376,11.561844217832098
model247-0.75,50,50,6,relu,0.75,0.7958933481610178,137.65832079946475,7.666161531355003,11.732788278984017,0.7656656281786555,141.38561343591866,7.7356949052080815,11.890568255382863
model247-0.5,50,50,6,relu,0.5,0.790801197208518,141.09268681871384,7.718563523371123,11.878244264987728,0.7660622667574406,141.14630159985288,7.73102537266451,11.88050089852498
model247-0.1,50,50,6,relu,0.1,0.808631075715088,129.0674484780783,7.317429889810544,11.360785557261359,0.7898923345497346,126.76843322806442,7.3389325917051,11.259148867834746
model247-0.05,50,50,6,relu,0.05,0.8058098284559088,130.9702191950517,7.82469687311271,11.444222087807091,0.7820921806197323,131.47465510971293,7.829022897270631,11.466239798195089
model247-0.01,50,50,6,relu,0.01,0.8111959816995871,127.3375653622983,7.398812590929983,11.28439477164364,0.7848811753087346,129.79191551880587,7.493393848681316,11.392625488394055
model247-0.005,50,50,6,relu,0.005,0.818855269456657,122.17181166608891,7.414501548097008,11.05313582953222,0.7758476453155749,135.24229469130043,7.638293823484203,11.629372067798863
