,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN_med,CEN_pred
185,16.59,28.39,10.16,23.16,-1.0,-1.0,-1.0,17.95,27.42,25.04,23.036064
186,-1.0,35.5,51.7,52.7,-1.0,34.5,-1.0,-1.0,25.5,32.32,30.958727
187,-1.0,-1.0,-1.0,24.3,18.5,26.2,39.426,23.6,37.0,19.0,29.516012
188,-1.0,20.1,12.9,15.6,-1.0,-1.0,-1.0,16.95,-1.0,12.19,14.291088
189,-1.0,-1.0,24.5,21.1,21.36,19.8,38.089,10.8,37.1,28.3,22.09038
190,-1.0,2.4,21.1,18.9,-1.0,-1.0,-1.0,-1.0,-1.0,10.29,13.405543
191,49.7,-1.0,-1.0,73.6,46.19,78.1,81.611,50.1,71.8,52.44,65.123604
192,-1.0,21.2,24.2,28.9,-1.0,-1.0,-1.0,11.98,-1.0,19.75,15.308369
193,-1.0,21.1,35.9,58.7,-1.0,24.1,63.125,53.5,18.0,27.6,33.459858
194,9.3,6.5,-1.0,45.9,14.6,7.5,13.618,7.32,-1.0,9.71,12.703705
195,-1.0,89.8,41.8,201.8,122.28,50.1,292.24,73.0,-1.0,80.5,73.59618
196,-1.0,9.6,9.2,7.1,-1.0,-1.0,-1.0,20.71,-1.0,15.86,8.994137
197,59.0,67.5,-1.0,186.0,81.92,36.2,120.93,-1.0,70.2,46.74,46.587997
198,-1.0,29.7,34.4,80.8,-1.0,25.3,-1.0,-1.0,52.2,37.21,43.532753
199,33.1,23.4,-1.0,97.6,47.4,29.7,65.277,-1.0,32.0,37.53,33.81358
200,5.6,25.2,-1.0,-1.0,25.4,-1.0,41.295,4.48,-1.0,9.61,14.299527
201,17.98,24.49,26.84,-1.0,-1.0,27.35,29.52,26.69,24.39,24.19,28.307238
202,-1.0,32.3,24.8,15.2,-1.0,-1.0,-1.0,53.46,-1.0,18.69,19.77089
203,-1.0,63.3,81.1,54.1,59.65,40.5,99.635,65.5,-1.0,83.9,58.659718
204,-1.0,17.85,58.38,37.99,24.92,17.55,250.06,22.99,15.62,13.58,25.797646
205,-1.0,12.43,19.69,20.12,-1.0,19.41,91.75,9.81,9.45,10.16,15.612794
206,-1.0,-1.0,-1.0,11.6,12.48,19.7,29.263,22.2,21.1,14.2,21.204212
207,-1.0,32.1,27.1,40.2,-1.0,-1.0,-1.0,36.36,-1.0,27.28,25.308746
208,-1.0,46.2,28.0,183.5,227.84,28.3,181.94,64.3,-1.0,62.7,61.80976
209,25.3,41.6,-1.0,51.0,120.25,35.5,109.68,-1.0,45.6,36.62,48.169727
210,-1.0,-1.0,53.5,115.6,117.86,38.8,103.94,84.0,59.8,67.9,67.356316
211,-1.0,18.8,-1.0,21.1,25.26,26.0,31.745,9.1,-1.0,32.0,15.899025
